a	cmavo			   	A      	логический союз: последующая мысль в sumti: 'или'
mu'onai	cmavo-compound			   	COI*      	звательная частица: окончание (я закончил говорить, может отвечать) - я сказал ещё не всё
mu'u	cmavo			   	BAI      	модальный предлог от mupli, 1-ое место                            выраженный примером, ...
my	cmavo			   	BY2      	буквенный символ для m
na	cmavo   	-nar-		   	NA      	маркёр отрицания bridi; областью охвата является всё bridi целиком; осуществляет логическое отрицание в некоторых составных cmavo
na.a	cmavo-compound			   	A*      	логический союз: последующая мысль в sumti: "условие/только если"
na'a	cmavo			   	BY1      	отменяет все сдвиги буквенных символов
na'e	cmavo   	-nal-		   	NAhE      	отрицание текущего значения на шкале/множестве (скалярное отрицание): иной чем .../отличное от ...; не ...; подразумевается наличие шкалы или множества
na'efa'a	cmavo-compound			   	FAhA*      	пространственное направление:не по напрвлению к точке, отрицание по типу противоположености; модальное слово направления
na'ei	experimental cmavo			   	NAhE      	противоречие-отрицание предиката	Правила отрицания мерила могут быть сформулированы следующим образом: naku ro da zo'u da broda .ijo [su'o] da zo'u da na'ei broda, naku [su'o] da zo'u da broda .ijo ro da zo'u da na'ei broda.  
na'epu'i	cmavo-compound			   	CAhA*      	модальный аспект: ещё никогда, и, возможно, не может; способность, отличная от продемонстрированной
nagi'a	cmavo-compound			   	GIhA*      	логический союз: bridi-хвостовая последующая мысль: "условие/только если"
nago'i	cmavo-compound			   	GOhA*      	selbri: повторяет предшествующее bridi, в то же время отрицая его, делая его ложным; pro-назначенные значения не меняются
nai	cmavo			   	NAI      	присоединяется как суффикс к словам, чтобы отрицать их; различные (но в каждом случае строго определённые) значения, связанные с отрицанием
na'i	cmavo			   	UI3a      	междометие-рассуждение: металингвистическое отрицание	См. также {naldra}, {nalmapti}.
naja	cmavo-compound			   	JA*      	логический союз: последующая мысль внутри tanru: "условие/только если"
na'o	cmavo			   	TAhE      	модификатор интервала: типично/характерно; интервал/модальное слово; по умолчанию как временной интервал
na'onai	cmavo-compound			   	TAhE*      	модификатор интервала: нетипично/атипично/нехарактерно; субъективный интервал/модальное слово; по умолчанию как временной интервал
naru'e	cmavo-compound			      		слабое отрицание глагольной фразы; почти, но не совсем.
nau	cmavo			   	CUhE      	интервал: безусловно отсылает к текущей точки отсчёта в пространстве/времени; начальная/исходная/опорная точка отсчета, начало координат
na'u	cmavo			   	NAhU      	превращает selbri в математический оператор; используется для создания реже используемых операторов с помощью fu'ivla, lujvo и пр.
ne	cmavo			   	GOI      	маркёр неограничивающей придаточной фразы: что, кстати, связано с ...
ne'a	cmavo			   	FAhA3      	отношение/направление интервала местоположения; близко от/рядом с ...
ne'e	experimental cmavo			   	CAI      	скалярный инвертор, дающий полярную оппозицию; эквивалент {to'e} но в классе CAI	См. также {to'e}
nei	cmavo			   	GOhA      	pro-bridi: повторяет текущую bridi
ne'i	cmavo			   	FAhA3      	отношение/направление интервала местоположения; внутри/в/внутрь ...
nei'o	experimental cmavo			   	KOhA      	pro-sumti: данный абзац
ne'o	cmavo			   	VUhU3      	унарный математический оператор: факториал; a!
ne'u	cmavo			   	FAhA1      	отношение/направление интервала местоположения; к югу от
ni	cmavo   	-nil-		   	NU      	абстрактор: абстрактор количества; x_1 - это количество в [bridi], измеренное на шкале x_2
ni'a	cmavo			   	FAhA2      	отношение/направление интервала местоположения; внизу/книзу/ниже от ...
ni'au	experimental cmavo			   	CAI      	междометие: 'как дела?'	Приветствие в китайском стиле. См. {pei}, {coi}, {a'oi}
ni'e	cmavo			   	NIhE      	превращает selbri в математический (mex) операнд; используется для создания новых не числовых кванторов (мерил); напр., "СТАДО" рогатого скота
ni'i	cmavo			   	BAI      	модальный предлог от nibli, 1-ое место                            логически; логически из-за, ...
ni'i ma	cmavo-compound			   	BAI*      	sumti вопрос насчёт логического доказательства/обоснования; почему?
ni'inai	cmavo-compound			   	BAI*      	модальный предлог от nibli, 1-ое место                            вопреки логике, ...
ni'o	cmavo			   	NIhO      	междометие-рассуждение: новый абзац; вводит новую тему
ni'u	cmavo			   	PA3      	цифра/число: знак минус; отрицательное число, унарный минус (-); по умолчанию любое отрицательное число
no	cmavo   	-non-		   	PA1      	цифра/число: 0 (цифра) [ноль]; широко используется как мерило (квантификатор), означающий "ничего", "ничто", "никакой", "ни один" и т. д.
no'a	cmavo			   	GOhA      	pro-bridi: повторяет bridi, в которое внедрено данное bridi
noda	cmavo-compound			   	KOhA*      	логически измеряемая sumti: свосем ничего/никого (если только не ограничена)
no'e	cmavo   	-nor-   	-no'e-	   	NAhE      	нейтральное, срединное значение на шкале: нейтральная точка между je'a and to'e; "ни да ни нет"
noi	cmavo			   	NOI      	неограничивающее придаточное предложение; присоединяет к sumti придаточное bridi с побочной информацией
no'i	cmavo			   	NIhO      	междометие-рассуждение: разрыв абзаца; возобновляет предыдущую тему
nomo'o	cmavo-compound			   	MAI*      	междометие-рассуждение: порядковое высказывание: секция/глава №0; предисловие
no'o	cmavo			   	PA5      	цифра/число: типичное/среднее значение; числовая величина, соответствующая наиболее типичной для контекста
no'oi	experimental cmavo			   	NOhOI      	неограничивающее придаточное предложение для selbri; присоединяется к selbri, причём ke'a представляет из себя 'me'ei присоединяющая-selbri'	См. также {me'ei}, {me'au}, {noi}, {po'oi}.
noroi	cmavo-compound			   	ROI*      	модификатор интервала: никогда; объективно количественный интервал; по умолчанию как временной интервал
no'u	cmavo			   	GOI      	маркёр неограничивающей фразы-в-роли-приложения: что, кстати является тем же самым, что и ...
nu	cmavo   	-nun-		   	NU      	абстрактор: обобщённый абстрактор события; x_1 - это состояние/процесс/достижение/активность [bridi] (чего)
nu'a	cmavo			   	NUhA      	превращает оператор математического выражения (mex) в selbri либо компонент tanru
nu'e	cmavo			   	COI      	звательная частица: обещание - освобождение от обещания - отказываюсь обещать
nu'ecu'i	cmavo-compound			   	COI*      	звательная частица: обещание - освобождение от обещания - отказываюсь обещать
nu'enai	cmavo-compound			   	COI*      	звательная частица: обещание - освобождение от обещания - отказываюсь обещать
nu'i	cmavo			   	NUhI      	открывает предваряющую мысль, содержащую конструкцию множества терминов; помечает начало множества, содержащего структурные места с логическими связками
nu'o	cmavo   	-nu'o-		   	CAhA      	модальный аспект: может, но пока не показало себя/не проявило себя; нереализованный потенциал
nu'u	cmavo			   	NUhU      	опускаемый терминатор: закрывает предваряющую мысль, содержащую множество терминов; обычно опускаемо, кроме случаев, когда за ним следует sumti
ny	cmavo			   	BY2      	буквенный символ для n
o	cmavo			   	A      	логический союз: последующая мысль в sumti: "двойное условие/iff/если-и-только-если"
o'a	cmavo			   	UI1      	междометие: гордость - скромность/сдержанность - позор	См. также {jgira}, {cumla}, {ckeji}.
o'acu'i	cmavo-compound			   	UI*1      	междометие: гордость - скромность/сдержанность - позор	См. также {jgira}, {cumla}, {ckeji}.
o'ai	experimental cmavo			   	COI      	звательная частица: приветствие/здравствуйте с лёгким удивлением	См. также {xai}, {coi}, {co'oi}
o'anai	cmavo-compound			   	UI*1      	междометие: гордость - скромность/сдержанность - позор	См. также {jgira}, {cumla}, {ckeji}.
obu	bu-letteral			   	BY*      	буквенный символ для o
o'e	cmavo			   	UI1      	междометие: близость - отдалённость	См. также {cnijbi}, {cnikansa}.
o'enai	cmavo-compound			   	UI*1      	междометие: близость - отдалённость	См. также {cnijbi}, {cnikansa}.
oi	cmavo			   	UI1      	междометие: жалоба - удовольствие	См. также {pante}, {pluka}, {kufra}.
o'i	cmavo			   	UI1      	междометие: осторожность/предусмотрительность - безрассудство	См. также {capyrivbi}, {capfanta}, {srerivbi}, {srefanta}, {naldarsi}, {seljde}.
oinai	cmavo-compound			   	UI*1      	междометие: жалоба - удовольствие	См. также {pante}, {pluka}, {kufra}.
o'inai	cmavo-compound			   	UI*1      	междометие: осторожность/предусмотрительность - безрассудство	См. также {capyrivbi}, {capfanta}, {srerivbi}, {srefanta}, {naldarsi}, {seljde}.
oire'e	cmavo-compound			   	UI*1      	междометие: жалоба в духовном/религиозном аспекте
oiro'a	cmavo-compound			   	UI*1      	междометие: жалоба в социальном аспекте
oiro'e	cmavo-compound			   	UI*1      	междометие: жалоба в ментальном аспекте (озадаченность, излишняя мысленная работа)
oiro'i	cmavo-compound			   	UI*1      	междометие: жалоба в эмоциональном аспекте
oiro'o	cmavo-compound			   	UI*1      	междометие: жалоба в физическом аспекте
oiro'u	cmavo-compound			   	UI*1      	междометие: жалоба в секусальном аспекте
onai	cmavo-compound			   	A*      	логический союз: последующая мысль в sumti: "исключающее или"; латинское 'aut'
o'o	cmavo			   	UI1      	междометие: терпение - простая переносимость - гнев	См. также {fengu}, {to'ersteba}, {de'acni}.
o'ocu'i	cmavo-compound			   	UI*1      	междометие: терпение- простая переносимость - гнев	См. также {fengu}, {to'ersteba}, {de'acni}.
o'onai	cmavo-compound			   	UI*1      	междометие: терпение- простая переносимость - гнев	См. также {fengu}, {to'ersteba}, {de'acni}.
o'u	cmavo			   	UI1      	междометие: расслабление - спокойствие - стресс	См. также {surla}, {cnilanxe}, {dunku}.
o'ucu'i	cmavo-compound			   	UI*1      	междометие: расслабление - спокойствие - стресс	См. также {surla}, {cnilanxe}, {dunku}.
o'unai	cmavo-compound			   	UI*1      	междометие: расслабление - спокойствие - стресс	См. также {surla}, {cnilanxe}, {dunku}.
pa	cmavo   	-pav-		   	PA1      	цифра/число: 1 (цифра) [один,одна,одно]
pa'a	cmavo			   	BAI      	модальный предлог от panra, 1-ое место (аналогично, подобно; общее свойство) подобным образом; в дополнение к, ...
pa'aku	cmavo-compound			   	BAI*      	sumti: явно помечает соответствующее использование, как, например, "ОНИ читают СВОИ книги (каждый свою)"
pabi	cmavo-compound			   	PA*      	число/количество: 18 [восемнадцать]
paci	cmavo-compound			   	PA*      	число/количество: 13 [тринадцать]
pa'e	cmavo			   	UI3      	междометие-рассуждение: справедливость - предвзятое мнение	См. также {tcinydracu'a}, {tcinydrapai}, {vudypai}.
pa'enai	cmavo-compound			   	UI*3      	междометие-рассуждение: справедливость - предвзятое мнение	См. также {tcinydracu'a}, {tcinydrapai}, {vudypai}.
pai	cmavo			   	PA5      	цифра/число: пи (приблизительно 3.14159...)
pa'i	cmavo			   	VUhU2      	бинарный математический оператор: отношение; [отношение a к b]
paki'o	cmavo-compound			   	PA*      	число/количество: 1,000, выражается с помощью запятой
pamai	cmavo-compound			   	MAI*      	междометие-рассуждение: первое порядковое высказывание
pamei	cmavo-compound			   	MOI*      	количественная selbri: преобразует 1 в количественное selbri; x_1 это множество с одним/единственным/одиночным членом x_2
pamoi	cmavo-compound			   	MOI*      	количественная selbri: преобразует 10 в порядковую selbri; x_1 - 1-ый среди x_2, упорядочиваемых по правилу x_3
pamo'o	cmavo-compound			   	MAI*      	междометие-рассуждение: порядковое высказывание: секция/глава №1
pamu	cmavo-compound			   	PA*      	число/количество: 15 [пятнадцать]
pano	cmavo-compound			   	PA*      	число/количество: 10 [десять]
panomei	cmavo-compound			   	MOI*      	selbri-количественная частица: превращает 10 в количественное selbri; x_1 это множество с десятью членами x_2
panomoi	cmavo-compound			   	MOI*      	количественная selbri: преобразует 10 в порядковую selbri; x_1 - 10-ый среди x_2, упорядочиваемых по правилу x_3
panono	cmavo-compound			   	PA*      	число/количество: 100 [сто]
panonomei	cmavo-compound			   	MOI*      	selbri-количественная частица: превращает 100 в количественное selbri; x_1 это множество с сотней членов x_2
pa'o	cmavo			   	FAhA3      	отношение/направление интервала местоположения; пронизывая/сквозь ...
papa	cmavo-compound			   	PA*      	число/количество: 11 [одиннадцать]
pare	cmavo-compound			   	PA*      	число/количество: 12 [двенадцать]
paremei	cmavo-compound			   	MOI*      	количественная selbri: преобразует 12 в количественное selbri; x_1 это множество с дюжиной (12-ю) членами x_2
paroi	cmavo-compound			   	ROI*      	модификатор интервала: однажды; объективно количественный интервал; по умолчанию как временной интервал
paso	cmavo-compound			   	PA*      	число/количество: 19 [девятнадцать]
pau	cmavo			   	UI3a      	междометие-рассуждение: опциональный вопросительный пре-маркер	См. также {preti}.
pa'u	cmavo			   	BAI      	модальный предлог от pagbu, 1-ое место                            имея компонент, ...
paunai	cmavo-compound			   	UI*3      	междометие-рассуждение: нереалистический/риторический вопрос следует
pavo	cmavo-compound			   	PA*      	число/количество: 14 [четырнадцать]
paxa	cmavo-compound			   	PA*      	число/количество: 16 [шестнадцать]
paze	cmavo-compound			   	PA*      	число/количество: 17 [семнадцать]
pe	cmavo			   	GOI      	маркёр ограничивающей придаточной фразы: что связано с ...; самая свободная ассоциация/притяжательный падеж
pe'a	cmavo   	-pev-		   	UI3c      	помечает конструкцию как образное выражение (небуквальную/метафорическую) речь/текст
pe'e	cmavo			   	PEhE      	помечает следующий далее логический союз как связующий множества терминов
pei	cmavo			   	CAI      	междометие: вопрос насчёт междометия; как ты к этому относишься? с какой интенсивностью?
pe'i	cmavo			   	UI2      	междометие-свидетельство: по моему мнению/я полагаю (субъективное заявление)	См. также {jinvi}.
pe'o	cmavo			   	PEhO      	предваряющий флажок для предваряющего (польская запись) оператора математического выражения (mex)
pe'u	cmavo			   	COI      	звательная частица: пожалуйста
pi	cmavo   	-piz-		   	PA3      	цифра/число: десятичная запятая (или точка) основания системы счисления; запятая (в числах с плавающей запятой)
pi'a	cmavo			   	VUhU4      	n-арный математический оператор: операнды - это векторы, которые следует рассматривать как строки матрицы
pi'ai	experimental cmavo			   	KE      	префикс умножения selbri как единиц измерения	См. также {te'ai}. Используется для построения selbri для единиц измерения, таких как кулоны, которые будут выражены как pi'ai xampo snidu [ke'e] - x1 измеряется в кулонах (ампер-секундах) в количестве x2 (li) и т. д. Так как pi'ai - это префикс, то pi'ai mitre snidu grake [ke'e] - это м с г (метр*секунда*грамм; m s g) и т.д.; в отдельных множителях нет необходимости.
pidu'e	cmavo-compound			   	PA*      	количество: слишком много из
pi'e	cmavo			   	PA3      	цифра/число: разделяет цифры при особом основании (напр., >16), также разделяет переменные (напр., календарные даты/часы/минуты/секунды или минуты от  секунд и градусов)
pi'i	cmavo			   	VUhU1      	n-арный математический оператор: раз; оператор умножения; [(((a * b) * c) * ...)]
piji'i	cmavo-compound			   	PA*      	количество: приблизительно всё из
pimo'a	cmavo-compound			   	PA*      	количество: слишком мало из
pimucu'o	cmavo-compound			   	MOI*      	количественная selbri: преобразует .5 selbri вероятности; событие x_1 имеет шансы 50/50 в условиях x_2
pi'o	cmavo			   	BAI      	модальный предлог от pilno, 1-ое место                            используемый(кем/чем), ...
piresi'e	cmavo-compound			   	MOI*      	количественная selbri: преобразует .2 = 1/5 в долевую selbri; x_1 - это 1/5 часть массива/полной совокупности x_2
piro	cmavo-compound			   	PA*      	количество: все из
pirosi'e	cmavo-compound			   	MOI*      	количественная selbri: преобразует "каждый из ..." в долевую selbri; x_1 - это вся совокупность (все доли) массива совокупности x_2
piso'a	cmavo-compound			   	PA*      	количество: почти все из
piso'i	cmavo-compound			   	PA*      	количество: многие из
piso'iroi	cmavo-compound			   	ROI*      	модификатор интервала: часто; объективно количественный интервал; по умолчанию как временной интервал
piso'u	cmavo-compound			   	PA*      	количество: мало из
piso'uroi	cmavo-compound			   	ROI*      	модификатор интервала: редко; объективно количественный интервал; по умолчанию как временной интервал
pisu'o	cmavo-compound			   	PA*      	количество: по крайней мере сколько-то из
pi'u	cmavo   	-piv-		   	JOI      	не-логический союз: декартово произведение; картезианское пересечение множеств
po	cmavo			   	GOI      	маркёр ограничивающей придаточной фразы: специфичный для  ...; обычный притяжательный падеж (физическая/юридическая связь)
po'e	cmavo			   	GOI      	маркёр ограничивающей придаточной фразы: который принадлежит ...(кому); неотчуждаемое/неотъемлемое владение
poi	cmavo			   	NOI      	ограничивающее придаточное предложение; присоединяет к sumti придаточное bridi с информацией, идентифицирующей эту sumti
po'i	cmavo			   	BAI      	модальный предлог от porsi, 1-ое место (по порядку)                 последовательно, один за другим; в последовательности, ...
po'o	cmavo			   	UI3b      	междометие-рассуждение: уникально, только, единственно: единственно существенный случай	См. также {pamei}, {mulno}, {frica}.
po'oi	experimental cmavo			   	NOhOI      	ограничивающее придаточное предложение для selbri; присоединяется к selbri, причём ke'a представляет из себя 'me'ei присоединяющая-selbri'	См. также {me'ei}, {me'au}, {no'oi}, {poi}.
po'u	cmavo			   	GOI      	маркёр ограничивающей фразы-в-роли-приложения: что является тем же самым, что и
pu	cmavo			   	PU      	отношение/направление временного интервала: было [selbri]; до/прежде [sumti]; по умолчанию прошедшее время
pu'a	cmavo			   	BAI      	модальный предлог от pluka, 1-ое место                            довольный ...(кем/чем), которому доставлет удовольствие, ...(кто/что)
pu'au	experimental cmavo			   	CUhE      	временной интервал: отсылает к прошедшему времени относительно рамок настоящего пространства/времени абсолютно	В прошлом относительно {nau}
puba	cmavo-compound			   	PU*      	временной интервал: было до; (интервал/модальное слово)
puca'a	cmavo-compound			   	PU*      	временной интервал: фактически было; актуальность в прошлом; модальный аспект
puca'o	cmavo-compound			   	ZAhO*      	временной интервал: был продолжающимся; (интервал/модальное слово)
pu'e	cmavo			   	BAI      	модальный предлог от pruce, 1-ое место (согласно манере 1)              согласно процессу, ...
pu'i	cmavo   	-pus-		   	CAhA      	модальный аспект: может и проявляет себя/проявило себя; продемонстрированный потенциал
pujeba	cmavo-compound			   	PU*      	временной интервал: до и после; (интервал/модальное слово)
pujeca	cmavo-compound			   	PU*      	временной интервал: до и во время; (интервал/модальное слово)
pu'o	cmavo			   	ZAhO      	контур интервала события: ранее начала ...;  до ... ; начинательность         ----|     |
pupu	cmavo-compound			   	PU*      	временной интервал: ранее этого было; (интервал/модальное слово)
pu'u	cmavo   	-puv-		   	NU1      	абстрактор: абстрактор процесса (события); x_1 - это процесс в [bridi], проходящий через стадии x_2
puza	cmavo-compound			   	PU*      	временной интервал: среднее (небольшое и не маленькое время до ...); (интервал/модальное слово)
puze'a	cmavo-compound			   	PU*      	временной интервал: в течение определённого интервала в прошлом; (интервал/модальное слово)
puze'i	cmavo-compound			   	PU*      	временной интервал: в течение краткого интервала в прошлом; (интервал/модальное слово)
puze'u	cmavo-compound			   	PU*      	временной интервал: в течение длительного интервала в прошлом; (интервал/модальное слово)
puzi	cmavo-compound			   	PU*      	временной интервал: краткое время до ...; (интервал/модальное слово)
puzu	cmavo-compound			   	PU*      	временной интервал: задолго до ...; (интервал/модальное слово)
py	cmavo			   	BY2      	буквенный символ для p
ra	cmavo			   	KOhA5      	pro-sumti: недавняя sumti перед последней, как определно сосчитыванием sumti назад
ra'a	cmavo			   	BAI      	модальный предлог от srana, 1-ое место                            к которому причастно/имеет отношение ... (в целом более, специфичное)
ra'e	cmavo			   	PA3      	цифра/число: следуют повторяющиеся цифры (период) в десятичной дроби
rai	cmavo			   	BAI      	модальный предлог от traji, 1-ое место                            имеющий в качестве кульминации, ...
ra'i	cmavo			   	BAI      	модальный предлог от krasi, 1-ое место                            из источника/начальной точки/с местом происхождения в виде, ...
ra'o	cmavo			   	RAhO      	ставит метку на GOhA, обновляя в соответствии с текущим контекстом значения всех pro-sumti в bridi, на которое эта GOhA ссылается
rau	cmavo			   	PA4      	цифра/число: достаточно; субъективное
ra'u	cmavo			   	UI3      	междометие-рассуждение: главным образом, особенно, в основном, преимущественно - равно, в равной степени - кстати	См. также {ralju}, {vajni}.
ra'ucu'i	cmavo-compound			   	UI*3      	междометие-рассуждение: главным образом, особенно, в основном, преимущественно - равно, в равной степени - кстати	См. также {ralju}, {vajni}.
raumei	cmavo-compound			   	MOI*      	количественная selbri: преобразует "достаточное количество" в количественное числительное; x_1 это множество с числом членов, достаточным по стандарту x_3
raumoi	cmavo-compound			   	MOI*      	количественная selbri: преобразует "достаточно" в порядковое числительное; x_1 имеет достаточный номер среди x_2, упорядочиваемых по правилу x_3
ra'unai	cmavo-compound			   	UI*3      	междометие-рассуждение: главным образом, особенно, в основном, преимущественно - равно, в равной степени - кстати	См. также {ralju}, {vajni}.
re	cmavo   	-rel-		   	PA1      	цифра/число: 2 (цифра) [два]
re'a	cmavo			   	VUhU4      	унарный математический оператор: транспонирование матрицы; A*
re'e	cmavo			   	UI4      	категория/модификатор эмоции: религиозный/духовный/богослужение - святотатство	См. также {lijda}.
re'enai	cmavo-compound			   	UI*4      	категория/модификатор эмоции: религиозный/духовный/богослужение - святотатство	См. также {lijda}.
re'i	cmavo			   	COI      	звательная частица: готов принимать - не готов принимать
re'inai	cmavo-compound			   	COI*      	звательная частица: готов принимать - не готов принимать
reki'o	cmavo-compound			   	PA*      	число/количество: 2,000, выражается с помощью запятой
remai	cmavo-compound			   	MAI*      	междометие-рассуждение: второе порядковое высказывание
remei	cmavo-compound			   	MOI*      	количественная selbri: преобразует 2 в количественное selbri; x_1 это множество из пары членов x_2
remoi	cmavo-compound			   	MOI*      	количественная selbri: преобразует 2 в порядковую selbri; x_1 является вторым среди x_2, упорядочиваемых по правилу x_3
reno	cmavo-compound			   	PA*      	число/количество: 20 [двадцать]
renomei	cmavo-compound			   	MOI*      	количественная selbri: преобразует 20 в количественное selbri; x_1 это множество из двух десятков членов x_2
renono	cmavo-compound			   	PA*      	число/количество: 200 [двести]
re'o	cmavo			   	FAhA3      	отношение/направление интервала местоположения; прилежащий к/смежный с/близлежащий у/касаясь/контактируя с ...
reroi	cmavo-compound			   	ROI*      	модификатор интервала: дважды; объективно количественный интервал; по умолчанию как временной интервал
re'u	cmavo			   	ROI      	преобразует число в объективно измеряемый порядковый модификатор интервала; по умолчанию временного интервала
ri	cmavo			   	KOhA5      	pro-sumti: последняя sumti, как определено сосчитыванием sumti назад
ri'a	cmavo			   	BAI      	модальный предлог от rinka, 1-ое место (физически/ментально)             причинно потому что/ибо, ...
ri'a ma	cmavo-compound			   	BAI*      	sumti-вопрос, спрашивающий насчёт фищической причины; почему?
ri'anai	cmavo-compound			   	BAI*      	модальный предлог от rinka, 1-ое место (физически/ментально)             несмотря на причину, ...
ri'e	cmavo			   	UI5      	модификатор междометия: высвобождение/разрядка эмоций - сдерживание/ограничение  эмоций	См. также {cniri'u}, {cnicru}.
ri'enai	cmavo-compound			   	UI*5      	модификатор междометия: высвобождение/разрядка эмоций - сдерживание/ограничение эмоций	См. также {cniri'u}, {cnicru}.
ri'i	cmavo			   	BAI      	модальный предлог от lifri, 1-ое место испытывающий/терпящий/пациенс/метка падежа подверженности; случается с ... (кем), испытываемо ...(кем), подвергается, ...(кто)
ri'o	cmavo			   	VUhU4      	тринарный математический оператор: [интеграл функции a с агрументом b на интервале c]
ri'u	cmavo			   	FAhA2      	отношение/направление интервала местоположения; справа от ...
ro	cmavo   	-rol-		   	PA4      	цифра/число: каждый, все
ro'a	cmavo			   	UI4      	категория/модификатор эмоции: социально - не-социально	См. также {jikca}.
ro'anai	cmavo-compound			   	UI*4      	категория/модификатор эмоции: социально - не-социально	См. также {jikca}.
roda	cmavo-compound			   	KOhA*      	логически количественная универсальная sumti: каждый (если только не ограничен)
ro'e	cmavo			   	UI4      	категория/модификатор эмоции: ментально - без участия ума	См. также {menli}.
ro'enai	cmavo-compound			   	UI*4      	категория/модификатор эмоции: ментально - без участия ума	См. также {menli}.
roi	cmavo   	-rom-   	-roi-	   	ROI      	превращает число в объективно количественный модификатор интервала; по умолчанию временной интервал
ro'i	cmavo			   	UI4      	категория/модификатор эмоции: эмоционально - не-эмоционально	См. также {cinmo}.
ro'inai	cmavo-compound			   	UI*4      	категория/модификатор эмоции: эмоционально - не-эмоционально	См. также {cinmo}.
romai	cmavo-compound			   	MAI*      	междометие-рассуждение: порядковое высказывание: наконец, напоследок, в заключение; последнее порядковое высказывание
romoi	cmavo-compound			   	MOI*      	количественная selbri: является последним среди; превращает значение "каждый" в порядковую selbri; x_1 - последний среди x_2, по правилу x_3
ro'o	cmavo			   	UI4      	категория/модификатор эмоции: физически - отрицая физический аспект	См. также {xadni}.
ro'onai	cmavo-compound			   	UI*4      	категория/модификатор эмоции: физически - отрицая физический аспект	См. также {xadni}.
roroi	cmavo-compound			   	ROI*      	модификатор интервала: всегда; объективно количественный интервал; по умолчанию как временной интервал
ro'u	cmavo			   	UI4      	категория/модификатор эмоции: сексуально - отрицая сексуальный аспект	См. также {cinse}.
ro'unai	cmavo-compound			   	UI*4      	категория/модификатор эмоции: сексуально - отрицая сексуальный аспект	См. также {cinse}.
ru	cmavo			   	KOhA5      	pro-sumti: дальняя прошедшая sumti, перед всеми другими sumti, для которых активно использование обратного счёта sumti
ru'a	cmavo			   	UI2      	междометие-свидетельство: я постулирую/принимаю без доказательств	См. также {sruma}.
ru'e	cmavo			   	CAI      	междометие: модификатор междометия, дающий слабую интенсивность
ru'i	cmavo			   	TAhE      	модификатор интервала: постоянно/непрерывно/неизменно; субъективный интервал/модальное слово; по умолчанию как временной интервал
ru'inai	cmavo-compound			   	TAhE*      	модификатор интервала: прерывисто/время от времени/подчас/порой/прерываемо; по умолчанию как временной интервал
ru'o	cmavo			   	BY1      	сдвигает буквенные символы в кириллицу
ru'u	cmavo			   	FAhA2      	отношение/направление интервала местоположения; окружающий/круговой/кольцеобразный ...
ry	cmavo			   	BY2      	буквенный символ для r
sa	cmavo			   	SA      	стирает высказывание частично или полностью; следующее слово показывает, сколько нужно стереть
sa'a	cmavo			   	UI3a      	междометие-рассуждение: материал, добавляемый редактором/рассказчиком (текст в скобках)	См. также {setca}.
sa'ai	experimental cmavo			   	LOhAI      	начало цитаты, заменяющей недавний ошибочно произнесённый текст	См. {le'ai}.
sa'e	cmavo			   	UI3      	междометие-рассуждение: строго говоря/говоря конкретно/точно - грубо говоря	См. также {satci}, {jibni}.
sa'ei	experimental cmavo			   	COI2      	преобразует следующую за ним cmevla или zoi-цитату в звукоподражательное слово/ономатопею/звукоподражание. (бам! бабах! юрк! и т.п.)	Более узкое по значению слово, чем {tai'i}. См. также {sance}, {ci'oi}, {ki'ai}.
sa'emau'i	cmavo-compound			   	UI*3      	точнее сказать; говоря более точно	См. {sa'e}, {mau'i}
sa'enai	cmavo-compound			   	UI*3      	междометие-рассуждение: строго говоря/говоря конкретно/точно - грубо говоря	См. также {satci}, {jibni}.
sai	cmavo			   	CAI      	междометие: модификатор междометия, дающий умеренную интенсивность
sa'i	cmavo			   	VUhU4      	n-арный математический оператор: операнды - это векторы, которые следует рассматривать как столбцы матрицы
sa'o	cmavo			   	VUhU4      	тринарный математический оператор: [производная функция от a с аргументом b порядка c]
sau	cmavo			   	BAI      	модальный предлог от sarcu, 1-ое место                            требуя (чего) .../нуждаясь в, ...(чём)
sa'u	cmavo			   	UI3      	междометие-рассуждение: проще говоря - говоря развёрнуто/более того	См. также {sampu}, {pluja}.
sa'unai	cmavo-compound			   	UI*3      	междометие-рассуждение: проще говоря - говоря развёрнуто/более того	См. также {sampu}, {pluja}.
se	cmavo   	-sel-		   	SE      	2-ая конверсия; меняет местами 1/2-ое места; образует новое selbri из исходного с перестановкой x_1 и x_2        Так, если {tcidu} означает "читать (что-либо)", то {se tcidu} означает "читаться кем-либо". См. также {te}, {xe}, {ve}
