arktik	cmevla			      	北冰洋
krati	gismu   	-ka'i-		      	x_1是x_2的代理/代表/代替，在功用/事件x_3中	也指：以……的名义；参见：{ka'i}, {jansu}, {catni}, {vipsi}, {pulji}.
krefu	gismu   	-ref-   	-ke'u-	      	x_1（事件）是x_2（谓词子句）的第x_3次重复/循环/再现	也指：另一/再一；参见 {fukpi}, {rapli}, {cafne}, {fasnu}, {xruti}.
krici	gismu   	-kri-		      	x_1相信（无关证据）x_2（du'u）是真实的/正确的，关于主题x_3	这里的“无关证据”是指没有客观的外部证据；也指：对……给予信任/有信念；参见 {jinvi}, {djuno}, {censa}, {cevni}, {lijda}, {makfa}, {malsi}, {senpi}, {birti}.
krili	gismu			      	x_1是晶体，由物质x_2构成，在形式/结构/排列x_3上	物质构成中需包含x_2，但x_2位不需要指明全部构成；参见 {jemna}, {bisli}.
krinu	gismu   	-rin-   	-ki'u-	      	x_1（事件/状态）是导致x_2（事件/状态）的原因/解释/起因	参见 {ciksi}, {rinka}, {nibli}, {mukti}, se {jalge}, te {zukte}, {ki'u}, {bapli}.
krixa	gismu   	-kix-   	-ki'a-	      	x_1哭/嚎/尖叫出声音x_2	参见 {klaku}, {bacru}.
kruca	gismu   	-kuc-		      	x_1横越过/跨越过/交叉过x_2，在位置x_3处	参见 {cripu}, {ragve}.
kruji	gismu   	-ruj-		      	x_1是乳液/乳状物，由成分x_2构成	物质构成中需包含x_2，但x_2位不需要指明全部构成；参见 {ladru}, {matne}.
kruvi	gismu   	-ruv-   	-kru-	      	x_1是弯曲的/弯道/曲线，在x_2上，在位置x_3处，由点集/性质x_4定义	x_1是弯曲的；（x_4是能够有效确定曲线的各种相关属性点集；参见 {korcu}, {bargu}, {genxu}, {linji}, {sirji}.
kubli	gismu   	-kub-		      	x_1是立方体/规则多面体，具有维度x_2（默认3），具有面数x_3（默认6)	参见 {kurfa}，{bliku}，{tanbo}, {tapla}, {tarmi}
kucli	gismu			      	x_1对x_2感到好奇/有兴趣	好问的= {retkucli}；参见 {manci}, {sisku}, se {cinri}.
kufra	gismu   	-kuf-		      	x_1感到舒适/舒服/安适，在条件/环境x_2下	参见 {cinmo}.
kukte	gismu   	-kuk-		      	x_1是美味的/可口的/好吃的，对观测者/感官x_2来说	x_1是美食；参见 {gusta}, {ralci}, {vrusi}, {cpina}.
kulnu	gismu   	-klu-		      	x_1（思想/风俗/技艺）是民族/国家x_2（团体）的文化；x_1是民族的/人种的	注意x_2并非个体，文化是由人群所共有，而非来自于个体；参见：{ka'u}, {ku'u}, {natmi}, {cecmu}.
kumfa	gismu   	-kum-   	-ku'a-	      	x_1是建筑物/结构x_2里的房间/一份空间，由墙体/隔离物x_3（团体/jo'u）围成	也指：室；参见 {bitmu}, {canlu}, {zdani}.
kumte	gismu			      	x_1是驼，属于品种/种类x_2；如：骆驼，羊驼	美洲驼/无峰驼= {tcokumte}，双峰驼= {zdokumte}，阿拉伯单峰驼= {rabykumte}；参见 {sunla}, {kanla}, {xirma}, {xasli}.
kunra	gismu   	-kun-		      	x_1是矿石/矿物，具有性质/金属x_2，由矿井/矿洞/位置x_3挖出	参见 {jinme}, {bisli}, {rokci}, {jemna}.
kunti	gismu   	-kut-		      	容器x_1是空的，不装有x_2；x_1是中空的	真空= kunti be roda/so'ada；参见 {culno}, {tisna}, {claxu}, {canlu}, {kevna}, {setca}.
kurfa	gismu   	-kur-		      	x_1是直角形的，顶点为x_2，维度为x_3（默认2）	也指：矩形，方形，正交直线；正方形= {kubykurfa}/{pitkubykurfa}，正方体={kurkubli}，矩形/长方形= {clakurfa}，菱形={sa'orkurfa}/{sa'orpitkubli}；参见 {bliku}, {kubli}, {tapla}, {salpo}, {tarmi}.
kurji	gismu   	-kuj-   	-ku'i-	      	x_1照顾/照看x_2（人/物/事）	也指：照料/保管/看管；x_1是x_2的监护人/照看者；参见 {jundi}, {cinri}, {prami}, {raktu}, {zgana}.
kurki	gismu			      	x_1是苦的/苦涩的，对观测者/感官x_2来说	参见 {titla}, {slari}.
kuspe	gismu   	-kup-   	-ku'e-	      	x_1在范围x_2内变动	也指：连续；参见 {ranji}, {renvi}, {tcena}, {bancu}, {cripu}, {ragve}, {vorme}, {canko}, {bitmu}, {sirji}, {jbini}, {jimte}, {preja}.
kusru	gismu   	-kus-		      	x_1（人）对x_2是残酷的/自私的/不友好的	参见 {xendo}, {jursa}.
labno	gismu			      	x_1是狼，属于种类x_2	查看{gerku}
lacni	experimental gismu			      	x_1是x_2戴的眼镜，为了目的/用途x_3	包括了用于视觉矫正，护眼，娱乐，装饰等各种眼镜，有的眼镜具有多种作用；参见：{le'otci}/{le'orlacni}矫正型眼镜（可能包括：{tidlacni}阅读眼镜，{xrelacni}双焦和集中混合眼镜）；{badlacni} 护目眼镜（可能包括：{srulacni}护目镜，{solylacni}太阳镜）；{jadlacni} 饰品眼镜（可能包括：{rekmeclacni} 无框眼镜， {solylacni}）； {mincimdylacni}3D眼镜
lacpu	gismu   	-lap-   	-cpu-	      	x_1拉/拽/扯/拖x_2，把手/拉的地方是x_3	查看{catke},{sakci},{cokcu}
lacri	gismu   	-lac-		      	x_1依赖/仰仗/信任x_2能够确保/维持/带来x3（事件/状态）	查看{minde},{nitcu},{tinbe}
ladru	gismu   	-lad-		      	x_1是/含有来源于x_2的奶/乳；x_1是乳制的/乳制品	查看{lanbi},{mabru},{tatru},{cirla},{kruji}
lafti	gismu   	-laf-		      	x_1（力）支撑x_2，支撑点是x_3，处于重力阱x_4中	x_1可能是一个抽象概念；动词“举起/抬起”={lafmuvgau}；查看{farlu},{plipe}
lakne	gismu   	-la'e-		      	x_1（事件/状态/性质）是可能的，在条件x_2下	查看{cumki},{jinzi},{kampu},{tcaci},{cunso},{fadni},{cnano}
lakse	gismu   	-lak-		      	x_1是蜡/蜡制品/蜡状物（加热会变软），来源于x_2	也可指石蜡。查看{bifce},{ranti},{bidju}
laldo	experimental gismu			      	x_1是老的/年长的（在时间长度上相对时间长），基于标准x_2	等同于 {tolci'o}，参见： {citno}, {slabu}}
lalxu	gismu   	-la'u-		      	x_1是湖泊/池塘，位于地点/位置x_2	查看{daplu},{djacu},{rirxe},{xamsi},{zbani}
lamji	gismu   	-lam-   	-la'i-	      	x_1临近x_2（或在x_2旁边，紧靠着x_2)，以性质/序列x_3，方向为x_4	也指：接触的，临近，紧靠，查看{zvati},{cpana},{jibni},{diklo},{stuzi},{bartu}
lanbi	gismu			      	x_1是属于种类x_2的蛋白质，由氨基酸序列x_3（序列/jo'u）组成	相关{ladru},{sovda}
lanci	gismu			      	x_1是旗，象征x_2，具有图案x_3，用材料x_4制成	参见 {gugde}, {jecta}.
lanka	gismu			      	x_1是篮子，装有x_2，由材料x_3做成/编织成	参见 {vasru}, {baktu}.
lanli	gismu   	-lal-		      	x_1分析/仔细检查x_2，使用方法/技术/系统x_3（进程/行为）	参见 {catlu}, {zgana}, {jarco}, {pensi}, {pinka}.
lanme	gismu   	-lan-		      	x_1是羊，属于品种/种类x_2	参见 {kanba}, {sunla}.
lante	gismu			      	x_1是罐头/密闭容器，用以装易受影响的物质x_2，容器由x_3做成	参见 {botpi}, {baktu}, {tinci}.
lanxe	gismu   	-lax-		      	x_1是平衡的/保持着平衡，在力x_2（团）的作用下	参见 {midju}, {nutli}，{fapro} ,{nutli}
lanzu	gismu   	-laz-		      	x_1（团）是一家/一族的，成员包括x_2，由标准x_3联接/维系而成	也指：帮派/部落； x_2是x_1中的一个成员；亲戚= lazmi'u - xy mintu y'y leka cmima da poi lanzu；参见 {natmi}, {cmima}, {girzu}, {jutsi}, {klesi}.
larcu	gismu   	-lar-		      	x_1（过程）是艺术（创造性的应用），关于手艺/技艺x_2（行为/想法）	x_1是艺术的；参见 {finti}, {zbasu}, {stati}.
lasna	gismu   	-la'a-		      	x_1将x_2固定/绑定在x_3上，使用固定装置x_4	不按时绑定之后作为单一物体；x_2与x_3是可互换的。x_3可能指基材，x_2绑定于其上；参见 {jorne}, {fenso}, {jgena}, {batke}, {dinko}, {kansa}.
lastu	gismu			      	x_1是黄铜（铜锌合金），具有物质构成x_2	x_1是黄铜制的；参见 {jinme}, {ransu}, {tunka}.
latmo	gismu   	-la'o-		      	x_1是关于的拉丁/罗马文化/国家/语言等的事物，在x_2方面	参见 {ropno}, {fraso}, {spano}, {xispo}, {itlo}.
latna	gismu			      	x_1是莲/荷，属于种类x_2，象征x_3，在文化/宗教x_4中	参见 {budjo}, {censa}, {lijda}, {spati}.
lauDZIS	cmevla			      	老子	中国古代哲学家“李耳”，不同于表示自称的“老子”
laus	cmevla			      	老挝	又译“寮国”
lazni	gismu			      	x_1（人）是懒惰的，关于活动x_2	参见 {nejni}, {vreta}, {gunka}.
lebna	gismu   	-leb-   	-le'a-	      	x_1获得/得到x_2（物/性质），从原有者x_3处	也指：没收/占有；x_1获得了物品x_2的所有权，x_3是原所有人，而不仅仅是来源；参见 {punji}, {cpacu}不暗示所有权的转移, {vimcu} 指转让时不必要有所有权的转移,{canci}, {cliva}
lelxe	experimental gismu			      	x_1是百合，属于品种/种类x_2	参见 {rozgu}；其短rafsi为： -lel-
lenjo	gismu   	-len-   	-le'o-	      	x_1是透镜，能将x_2聚焦到焦点x_3，通过方式/材料x_4	x_1是光学的；聚焦可能是光学的，也可能是其它： x_2可能是光，声音，伦琴射线等等；默认为具有折射光性质的光学透镜；参见 {kacma}, {minra}.
lenku	gismu   	-lek-		      	x_1是冷的，基于标准x_2	参见 {glare}, {bisli}.
lerci	gismu   	-lec-		      	x_1（事件）是迟的，基于标准x_2	参见 {clira}.
lerfu	gismu   	-ler-   	-le'u-	      	x_1（la'e zo BY/字母等）是字母/数字/符号，在字母表/符号集x_2中，代表/表征x_3	也指： x_1是图符/字符/记号（也指 me'o BY/词-bu），x_2是字符集；（形容词）x_1是字母的/符号的； {sinxa}指更通用的符号；参见 {mifra}, {namcu}, {sinxa}, {pandi}.
libjo	gismu   	-lib-		      	x_1是关于利比亚的文化/国家/语言等的事物，在x_2方面	参见 {friko}, {xrabo}, {muslo}.
lidne	gismu   	-li'e-		      	x_1领先于x_2/在x_2前面，在序列x_3中；x_1是先前的；x_2是随后的	也指： x_1之前的/先驱；x_1带领/作为领头人/指导； x_2之后的/尾随的 ；参见 {li'e}, {balvi}, {ralju}, {rebla}, {purci}用于时间序列, {jersi}, {porsi}, {jatna}, {farna}.
LIEtuvas	cmevla			      	立陶宛
lietuvos	cmevla			      	立陶宛
lifri	gismu   	-lif-   	-fri-	      	x_1经历/经过x_2（事件/经历）；x_2发生在x_1身上	也指：x_1对x_2有经验/经历； 暗示被动接受，但不排除积极参与；一段有所回报的经历（奖励或惩罚）：（= {jernyfri}, {zanjernyfri}, {maljernyfri}）；参见 {ri'i}, {jmive}, {fasnu}, {renvi}.
lijda	gismu   	-jda-		      	x_1是宗教，有信仰者/信众/追随者x_2，有共同信仰/惯例/信条/教条x_3	也指：x_1神话/信仰/传统信仰；x_2信徒；x_1, x_2, x_3是跟宗教相关的； x_2是x_1的信徒/追随者； x_2是信条x_3的践行者 （= selterjda）； 教士/牧师/僧侣= {jdaca'i}/{jdaka'i}/{jdaja'a}；有组织的教会= {be'ejda}；宗教集会= {jdabe'e}/{jdagri}；参见 {budjo}, {censa}, {cevni}, {crida}, {dadjo}, {jegvo}, {krici}, {latna}, {malsi}, {marde}, {muslo}, {pruxi}, {ranmi}, {ritli}, {xriso}, {zekri}.
limna	gismu   	-lim-		      	x_1游泳，在液体x_2中	参见 {djacu}, {fulta}, {klama}, {litru}.
lindi	gismu   	-lid-		      	x_1是闪电/电弧，击向x_2，从x_3放出	雷= {lidysna}；参见 {dikca}.
linji	gismu   	-lij-   	-li'i-	      	x_1是线（一维结构），由点集x_2定义	射线/矢量线={farli'i}/{porli'i}；参见 {kruvi}, {sirji}, {jganu}, {kantu}, {mokca}.
linsi	gismu   	-lin-		      	x_1是链/连接，由材料x_2构成，具有连接性质x_3	参见 {skori}.
linto	gismu   	-li'o-		      	在质量/重量上，x_1是轻的，基于标准x_2	参见 {junta}, {tilju}; se {xalbo}, {kandi} 用于比喻
lisri	gismu   	-lis-		      	x_1是故事/传说，关于主题/情节/寓意x_2，由x_3讲诉给读者/受众x_4	也指：传奇； 不必要是虚构的；x_2 可能只是习俗而非主题；x_3讲诉故事x_1，关于x_2，给x_4（= {selterlisri} ，注意讲故事的人与故事创作者并不等同）；参见 {ranmi}, {cfika}, {skicu}, {prosa}, {pemci}.
liste	gismu   	-ste-		      	x_1是清单/登记薄/目录，上有序列/集合x_2，以顺序x_3排列，在媒介x_4中	x_2需完全确定；参见 {porsi}, {girzu}, {cmima}.
litce	gismu   	-lic-		      	在容积上，x_1是x_2升（公制单位，默认为1）的，基于标准x_3	参见 {merli}, {grake}, {mitre}, {dekpu}, {centi}, {decti}, {dekto}, {femti}, {gigdo}, {gocti}, {gotro}, {kilto}, {megdo}, {mikri}, {milti}, {nanvi}, {petso}, {picti}, {terto}, {xatsi}, {xecto}, {xexso}, {zepti}, {zetro}.
litki	gismu   	-lik-		      	x_1是液体，由物质x_2构成，在x_3条件下	条件包括温度/压力；参见 {cilmo}, {djacu}, {lumci}, {runta}, {pambe}, {sudga}, {gapci}, {sligu}, {flecu}, {jduli}.
litru	gismu   	-li'u-		      	x_1旅行/旅游，通过路线/路径x_2，使用载具/交通工具/方式x_3；x_1是旅行者	x_2是包含了足已有效确认路径的点；参见 {bajra}, {cadzu}, {cpare}, {tcana}, {klama}, {cliva}, {pluta}, {limna}, {muvdu}.
livga	gismu			      	x_1是x_2的肝脏（身体部位）	参见 {rango}, {betfu}.
livla	gismu   	-lil-		      	x_1是燃料/能量源，以对x_2供能	参见 {nejni}, {xaksu}, {jelca}.
logji	gismu   	-loj-		      	x_1（规则/方法）是用以解释/概括/推论x_2（du'u）的逻辑	x_1, x_2关于逻辑的；参见 {nibli}.
loglo	experimental gismu			      	x_1是关于Loglan的文化/语言等的事物，在x_2方面	参见 {lojbo}
loglytuan	cmevla			      	逻辑语工作者	这里的“逻辑语”指Loglan，非Lojban。一份早期刊物的名字。又试译为“逻各斯志工”，试以“逻各斯语”对译Loglan，以区分于Lojban惯译的“逻辑语”。
lojbab	cmevla			      	逻辑鲍勃	专指Bob LeChevalier君
lojban	cmevla			      	逻辑语（又译理语）	不完全同于其前身Loglan（同样是逻辑语的意思）
lojbo	gismu   	-lob-   	-jbo-	      	x_1 在特征 x_2中反应出 [逻辑语的]/逻辑语的语言/文化/国家/社区的特性.
loldi	gismu   	-lol-   	-loi-	      	x_1是x_2的地板/底/地.	参考：{bitmu}, {drudi}, {dertu}, {dizlo}, {cnita}, {zbepi}, {sarji}, {serti}.
lorxu	gismu   	-lor-   	-lo'u-	      	x_1 是狐 [蓬尾野生犬科动物]，属于种类 x_2	参见 {gerku}。 (不是“狐狸”)
losanjylys	cmevla			      	洛杉矶
lubno	gismu   	-lu'o-		      	x_1是关于黎巴嫩的文化/国家/语言等的事物，在x_2方面	参见 {xrabo}.
lujvo	gismu   	-luv-   	-jvo-	      	x_1（文本）是有着意义 x_2，参数 x_3 的复合谓词，由比喻 x_4 构造	参见 {stura}, {cmavo}, {gismu}, {rafsi}, {smuni}。
lumci	gismu   	-lum-   	-lu'i-	      	x_1清洗/清洁x_2上的秽物/污物x_3，使用清洁材料x_4	变得清洁/干净={cuvbi'o}/{jisybi'o}；参见 {djacu}, {jinru}, {litki}, {zbabu}, {jinsa}, {curve}.
lunbe	gismu   	-lub-		      	x_1是裸露的/裸体的/赤裸的；x_1是没有遮蔽的	参见 {taxfu}, {bandu}.
lunra	gismu   	-lur-		      	x_1 是月球; x_1是行星x_2的主要自然卫星.
lunsa	gismu   	-lus-		      	x_1液化到x_2上/中，在温度x_3，压强x_4下；x_1是x_2上的冷凝物（露）	参见 {cilmo}, {dunja}, {febvi}, {runme}, {bumru}.
lyndyn	cmevla			      	伦敦
mabla	gismu   	-mal-		      	x_1是可恶的/恼火的/糟糕的/低劣的/卑劣的/可悲的/恶劣的，在性质x_2方面，基于标准x_3	各种脏话；参见 {palci}, {dapma}, {xlali}, {zabna}, {funca}, {ganti}, {ganxo}, {gletu}, {gutra}, {kalci}, {pinca}, {pinji}, {plibu}, {vibna}, {vlagi}, {zargu}.
mabru	gismu   	-mab-		      	x_1是哺乳动物，属于品种/种类x_2	参见 {danlu}, {ladru}, {tatru}, {ractu}, {xanto}, {xarju}.
macnu	gismu   	-cnu-		      	x_1（事件/行为/进程）是手动/非自动的，在功用x_2上，在条件x_3下	参见 {zmiku}, {jitro}.
madRID	cmevla			      	马德里
makcu	gismu   	-ma'u-		      	x_1是成熟的/成年的/已长成的/完全发育的，在发展/生长品质x_2（ka）上	参见 {cifnu}, {ninmu}, {verba}, {banro}, {farvi}, {nanmu}.
makfa	gismu   	-maf-		      	x_1是魔法的/超自然的/有魔力的/巫术，对x_2来说，由人/力/神灵x_3施展	参见 {krici}, {manci}.
maksi	gismu   	-mak-		      	x_1是有磁性的，产生磁场x_2	参见 {dikca}, {trina}, {xlura}.
malsi	gismu   	-mas-		      	x_1是寺庙/教堂/神殿/圣祠，属于宗教x_2，位于地点x_3	x_2可能指某些值得推崇/尊敬/崇拜的事件形式，因此x_1可喻为：纪念碑= {mojmalsi}/{si'armalsi}；参见 {cevni}, {krici}, {lijda}, {ritli}.
mamta	gismu   	-mam-		      	x_1是x_2的母亲（不必要是生理学上的母亲）	参见 {patfu}, {sovda}, {rirni}, {rorci}, {tarbi}, {famti}, {bersa}, {jbena}.
manci	gismu   	-mac-		      	x_1对x_2感到惊奇/敬畏/惊异	参见 {cinmo}, {makfa}, {kucli}, {spaji}, {cinri}, {banli}, {sisku}.
manfo	gismu			      	x_1（物/事）是均衡的/均匀的，在性质x_2（ka）上	参见 {prane}, {curve}, {ranji}, {vitno}, {stodi}, {dikni}, {sampu}, {traji}.
mango	experimental gismu			      	x_1 是 x_2 种类的芒果
manku	gismu   	-man-		      	x_1是黑暗的/缺少光照的	使用{kandi}或{xekri} 形容颜色；参见 {blabi}, {gusni}, {ctino}
manri	gismu   	-mar-		      	x_1是参考系/参考标准，用以观察/测量/测定x_2，基于标准x_3	x_1可能是指物体或si'o想法；参见：{ma'i}, {ckilu}, {merli}, {pajni}, {cimde}, {jdice}, {marde}.
mansa	gismu			      	x_1满足/具有估值x_2，在性质（ka）/状态x_3上	参见 {pajni}.
manti	gismu			      	x_1是蚁，属于种类x_2	参见 {cinki}, {jalra}.
mapku	gismu   	-map-		      	x_1是帽子/头盔/头冠，由材料x_2做成	参见 {taxfu}, {stedu}, {drudi}.
mapni	gismu			      	x_1是棉/棉制的	参见 {bukpu}.
mapti	gismu   	-mat-		      	x_1适合/是合适的/相配于x_2，在性质/表象x_3方面。	查看{satci},{tugni},{sarxe},{drani},{tarmi},{ckini},{mintu}
marbi	gismu   	-mra-		      	x_1是避难所/安息所，保护x_2免受危险/威胁x_3	参见 {bandu}, {ckape}, {snura}, {drudi}, {sepli}, {bitmu}, {gacri}.
marce	gismu   	-ma'e-		      	x_1是载具，运载x_2，在表面/媒介x_3上，由x_4驱动	参见 {klama}, {matra}, {bevri}, {bloti}, {carce}, {karce}, {sabnu}, {skiji}.
marde	gismu   	-mad-		      	x_1是x_2（个体/团体）的道德标准/伦理规范，关于情形x_3	x_1通常是谓词子句，规则或者行为规范；也指原则；道德/良心={sezmarde}；参见 {palci}, {vrude}, {lijda}, {manri}, {javni}, {tarti}, {zekri}.
margu	gismu   	-mag-		      	x_1是汞/水银 （可比喻：一定温度下的液态金属）	参见 {jinme}.
marji	gismu   	-maj-   	-mai-	      	x_1是物质/材料，由组分x_2构成，具有外形/结构形式x_3	x_1是物质的；参见 {morna}, {mucti}, {nejni}, {tarmi}, {dacti}.
marna	gismu			      	x_1是大麻/黄麻，属于种类/种族x_2	参见 {skori}, {tanko}, {sigja}, {xukmi}.
marxa	gismu   	-max-		      	x_1（力）粉碎/压碎x_2，成为碎片/碎屑x_3（群）	参见 {daspo}, {pesxu}, {zalvi}, {bapli}.
masno	gismu   	-sno-		      	x_1是做/成为x_2（事件/状态）是慢的/迟钝的/行动迟缓的	参见 {sutra}.
masti	gismu   	-ma'i-		      	在持续时间长度上，x_1是x_2个月（默认为1）的，基于月历标准x_3	本月= {cabma'i}；下个月= {bavla'ima'i}；上个月= {prula'ima'i}；参见 {detri}, {djedi}, {jeftu}, {nanca}.
matci	gismu			      	x_1是衬垫/垫子/床垫，由材料x_2做成	褥子/垫子={kicymatci}；参见 {kicne}, {tapla}, {karda}, {ckana}.
matli	gismu			      	x_1是亚麻/亚麻制品（材质/布料）	参见 {bukpu}.
matne	gismu			      	x_1是黄油/人造奶油/起酥油，来源于x_2	可食用的固体脂肪，在常温下容易涂抹开； 乳制品奶油= {ladmatne}；参见 {grasu}, {kruji}.
matra	gismu			      	x_1是发动机/马达，为驱动x_2/为x_2提供能量	参见 {marce}, {minji}, {carce}.
mavji	gismu   	-mav-		      	x_1是燕麦，属于种族/种类x_2	参见 {gurni}.
maxri	gismu   	-xri-		      	x_1是小麦，属于种族/种类	参见 {gurni}.
mebri	gismu   	-meb-		      	x_1是x_2的额头/前额	参见 {stedu}, {flira}.
megdo	gismu   	-meg-		      	x_1是百万/十的六次方个/份[10^6]x_2，在x_3方面 （默认是计量单位）	参见 {grake}, {mitre}, {snidu}, {stero}, {delno}, {molro}, {kelvo}, {xampo}, {gradu}, {litce}, {merli}, {centi}, {decti}, {dekto}, {femti}, {gigdo}, {gocti}, {gotro}, {kilto}, {mikri}, {milti}, {nanvi}, {petso}, {picti}, {terto}, {xatsi}, {xecto}, {xexso}, {zepti}, {zetro}
mekso	gismu   	-mek-   	-me'o-	      	x_1（数字/表达式）是数学表达式，由规则/定义x_2方式进行解读	参见 {cmaci}, {dilcu}, {fancu}, {frinu}, {jalge}, {namcu}, {parbi}, {pilji}.
melbi	gismu   	-mel-   	-mle-	      	x_1对x_2来说、从x_3方面来看、按x_4标准来评价是美的	不分男女、人物，所以也是英俊、漂亮、可爱、优雅、优美的意思。参照: {pluka}, {xamgu}
meljo	gismu   	-mej-		      	x_1是关于马来西亚/马来的文化/国家/语言等的事物，在x_2方面	参见 {baxso}, {bindo}.
menli	gismu   	-men-		      	x_1是身体x_2的理智/精神/智力/意识/心智/灵魂	x_1是关于心理的/心智的； 多重人格的= so'i {menli}；参见 {besna}, {morji}, {mucti}, {pensi}, {sanji}, {xanri}, {sevzi}, {xadni}.
mensi	gismu   	-mes-   	-me'i-	      	x_1是x_2的姐妹，依据标准/关系x_3（不一定是生理学上的姐妹关系）	参见 {bruna}, {tunba}, {tamne}, {famti}.
mentu	gismu   	-met-   	-me'u-	      	在持续时间长度上，x_1是x_2个分钟（默认为1）的，基于标准x_3	参见 {junla}, {cacra}, {snidu}, {tcika}.
merko	gismu   	-mer-		      	x1 在方面 x2 从属于美国文化/语言	参见 {brito}, {bemro}, {ketco}, {xispo}, {glico}
merli	gismu   	-mre-		      	x_1测量/测算/求值x_2（数量），计量单位是x_3，取值范围是x_4（si'o），精度为x_5	参见 {kancu}, {rupnu}, {fepni}, {dekpu}, {gutci}, {minli}, {merli}, {bunda}, {ckilu}, {gradu}, {satci}, {centi}, {cimde}, {decti}, {dekto}, {femti}, {gigdo}, {gocti}, {gotro}, {kilto}, {kramu}, {litce}, {manri}, {megdo}, {mikri}, {milti}, {nanvi}, {petso}, {picti}, {terto}, {xatsi}, {xecto}, {xexso}, {zepti}, {zetro}.
mexno	gismu   	-mex-		      	x_1是关于墨西哥的文化/国家/语言等的事物，在x_2方面	参见 {xispo}, {bemro}, {spano}.
midju	gismu   	-mij-		      	x_1是处于x_2的中部的/中央的/中心位置处的	参见 {lanxe}, {jbini}, {nutli}, {snuji}, {milxe}, {denmi}, {ralju}.
mifra	gismu   	-mif-		      	x_1是纯文本x_2的编码/密文，基于编码/密码系统x_3；x_1在密码中；x_3是密码	密码= {termifra}；参见 {mipri}, {lerfu}, {sinxa}.
mikce	gismu   	-mic-		      	x_1医治/治疗/护疗x_2的疾病/状况x_3，使用方法/疗法x_4	也指：x_1,x_4关于医疗的；x_2是x_1的病人/医治对象；x_2被x_1采用方法x_4进行治疗；治愈= {sadmikce}, {sadvelmikce}；痊愈{sadyselmikce}, {ka'orbi'o}；疗法= {velmikce}；参见 {bilma}, {kanro}, {spita}.
mikri	gismu   	-mik-		      	x_1是十的负六次方个/份[10^{-6}]x_2，在x_3方面 （默认是计量单位）	参见 {grake}, {mitre}, {snidu}, {stero}, {delno}, {molro}, {kelvo}, {xampo}, {gradu}, {litce}, {merli}, {centi}, {decti}, {dekto}, {femti}, {gigdo}, {gocti}, {gotro}, {kilto}, {megdo}, {milti}, {nanvi}, {petso}, {picti}, {terto}, {xatsi}, {xecto}, {xexso}, {zepti}, {zetro}
milti	gismu   	-mil-		      	x_1是千分之一/十的负三次方个/份[10^{-3}]x_2，在x_3方面（默认为计量单位）	参见 {grake}, {mitre}, {snidu}, {stero}, {delno}, {molro}, {kelvo}, {xampo}, {gradu}, {litce}, {merli}, {centi}, {decti}, {dekto}, {femti}, {gigdo}, {gocti}, {gotro}, {kilto}, {megdo}, {mikri}, {nanvi}, {petso}, {picti}, {terto}, {xatsi}, {xecto}, {xexso}, {zepti}, {zetro}
milxe	gismu   	-mli-		      	x_1是温和的/中等的/不极端的，在性质x_2（ka）上；x_1并不很x_2	参见 {mutce}, {traji}, {kandi}, {ruble}, {midju}, {nutli}, {ralci}.
minde	gismu   	-mid-   	-mi'e-	      	x_1命令x_2，结果x_3（事件/状态）应当发生；x_1给x_2关于x_3应当发生的命令	x_1发布命令，x_2执行而做某事x_3；x_1是指挥官/司令员；x_3是关于指令的；参见 {lacri}, te {bende}, {jatna}, {ralju}, {jitro}, {turni}, {tinbe}.
minji	gismu   	-mi'i-		      	x_1是机器，具有用途/功能x_2	参见 {cabra}, {matra}, {tutci}, {zukte}, {pilno}, {skami}.
minli	gismu			      	x_1是x_2的当地距离单位的（非公制单位），x_3是亚单位/子单位，基于标准x_4	后可继续添加子单位x_5,x6……； 参见 {mitre}, {kilto}, {clani}, {ganra}, {condi}, {rotsu}, {rupnu}, {fepni}, {dekpu}, {gutci}, {minli}, {merli}, {bunda}, {kramu}.
minra	gismu   	-mir-		      	x_1反射/回射/反弹x_2（物体/辐射）至观测者/位置x_3，反射物/波为x_4	也指： x_1是镜子/反射器；x_2可能指光/lu'e可成像的对象；x_4可能是x_2的图像/回声，可能与x_2相同；x_3可能是反射对象的路径；加ka指反射（原理/机制）；参见 {catlu}, {viska}, {lenjo}, {pensi}.
mintu	gismu   	-mit-   	-mi'u-	      	x_1与x_2是相同的/等同的/一样的，基于标准x_3；x_1与x_2是可互易的	参见 {panra}, {satci}, {mapti}, {simsa}, {drata}, {dunli}, {du}, {simxu}
mipri	gismu   	-mip-		      	x_1将x_2隐藏，以避开x_3，使用隐藏方法x_4；x_2是秘密/机密；x_1将x_2隐藏起来	躲避/隐藏= {selcri}/{nalterju'o}；秘密={selmipri}；参见 {stace}, {mifra}, {sivni}, {djuno}, {cirko}, {jarco}.
mirli	gismu			      	x_1是鹿，属于种族/种类x_2	参见 {mabru}, {danlu}.
misno	gismu   	-mis-   	-mi'o-	      	x_1（人/物/事）是著名的/知名的/有声望的，对于人群x_2（团）来说；x_1是名人	也指：周所周知的； 声名狼藉的/臭名昭著的={malmi'o}；也可以用以表示被引用的词句；参见 se {sinma}, {banli}.
misro	gismu			      	x_1是关于埃及的文化/国家/语言等的事物，在x_2方面	参见 {friko}, {muslo}, {xrabo}.
