mi'e	cmavo			   	COI      	自己紹介 ：心態詞（呼応系）； 話し手としての自分を導入する	「mi'e .tanakan.／田中と申します」 ・読み方： ミヘ
mi'enai	cmavo-compound			   	COI*      	：心態詞（呼応系）；	「mi'enai .tanakan. ／田中ではありません。」 ・読み方： ミヘナイ
mi'i	cmavo			   	BIhI      	中間（順序あり） ： 接続詞（非論理・sumti/selbri）；	「lo zdani ku mi'i lo ckule／家から学校までの中間」 ・読み方： ミヒ
mi'o	cmavo			   	KOhA3      	話し手＆聞き手（その他以外） ： 代詞（sumti）；	・読み方： ミホ
mi'u	cmavo			   	UI3b      	同様に（ mi'u 同様に - mi'unai 異なって）	心態詞（談話系）； 先に述べた事物と同じ事物を指すことを表す （BPFK による新しい意味） 「mi pu zi ca'o cusku di'u mi'u la .djan.／私はさっきそれと全く同じセリフをジャンに言っていた」 ・読み方： ミフ ・関連語： {mintu}; {va'inai}
mi'unai	cmavo-compound			   	UI*3b      	異なって（ mi'u 同様に - mi'unai 異なって）	心態詞（談話系）； 異なる；先に述べた事物とは別の事物を指すことを表す （BPFK による新しい意味） 「mi pu lebna lo cukta la .djan. gi'e dunda cy. mi'unai la .djein.／私はジャンの本を取って、別の本をジェインにあげた」 ・読み方： ミフ ・関連語： {drata}
mo	cmavo			   	GOhA      	bridi 問 ： 代詞（bridi）； bridi/selbri/brivla の代わりに置いて疑問表現を作る	「ca mo／最近どうですか？」 ・読み方： モ
mo'a	cmavo   	-mob-		   	PA4      	少なすぎる～ ： 数量詞；	・大意： 過少 ・読み方： モハ
mo'e	cmavo			   	MOhE      	sumti → オペランド変換 ： sumti をMEX（数式）のオペランドにする	・読み方： モヘ
moi	cmavo   	-mom-   	-moi-	   	MOI      	序列 selbri ： 数量詞の右に付いて、「x_1 は x_2 （集合）・ x_3 （原理）の［数量詞］番目の要素」というPSを与える	「ti ci moi mlatu lo'i se kurji be mi／これは私が世話をしてきた猫のうちの３匹目です」 ・大意： 序数 selbri ・読み方： モイ
mo'i	cmavo   	-mov-		   	MOhI      	時空間遷移 ： selbri や間詞の左に付いて時空間における動きを表す	「mo'i ti'a plipe／後ろへ跳ぶ」、次との違いに注目「ti'a plipe／後ろで跳ぶ」 ・大意： テンス： 遷移 ・読み方： モヒ
moi'o	experimental cmavo			   	MOI      	x_1 は x_2 （単位）・x_3 （基準）（デフォルトは「今現在」）で x_4 （観点／暦／慣習）における PA 番目の日付／時刻	x_3 は時刻の基準点（PA = {no})。時間の区切り方は x_4に依る。たとえば、2014年11月14日14時03分時点において、0番目の日にち（lo si'o {djedi}）は 11月14日、0番目の世紀は 21世紀、0番目の月(lo si'o  {masti})は 11月、0番目の昼（lo si'o {donri}）は今日の昼（今の時間帯）を意味するが、0番目の夜（lo si'o {nicte}）はその時点が夜でないため、何も指さない。付番は未来を正の方向とする；「lo no moi'o be lo si'o djedi ／ 今日」「lo pa moi'o be lo nanca／来年」「lo ni'u moi'o be lo si'o masti／先月」；「.e'o ko klama lo zdani be mi ca lo pa moi'o be lo si'o nicte／今夜、私の家に来てください。」
mo'o	cmavo			   	MAI      	篇章序列 ： 数量詞の右に付いて、文章の篇や節を表す	「pa mo'o／第一章」 ・読み方： モホ
mo'u	cmavo			   	ZAhO      	終了 ： 相制詞；	・読み方： モフ
mu	cmavo   	-mum-		   	PA1      	5 ： 数量詞；	・大意： 5 ・読み方： ム
mu'a	cmavo			   	UI3      	例えば （ mu'a 例えば - mu'acu'i 例を挙げるまでもなく - mu'anai 例示終わり）	心態詞（談話系）；「lo nu nandu ku lo nu na'e jimpe cu na du .i mu'a lo galtu cmaci cu nandu gi'e ku'i na'e ke to'e te jimpe／「むつかしい」といふことと「わからない」といふこととは同じでない。例へば、高等數學はむつかしい、しかしわからないものではない」（三木清『哲學はやさしくできないか』） ・読み方： ムハ  ・関連語： {mupli}
mu'acu'i	cmavo-compound			   	UI*3      	例を挙げるまでもなく （ mu'a 例えば - mu'acu'i 例を挙げるまでもなく - mu'anai 例示終わり）	心態詞（談話系）；「mu'acu'i lo'i to'e sarcu be sepa'u lo'i se gunka cu barda／どれとは言わないが、無駄な作業が多い。」 ・読み方： ムハシュヒ
mu'anai	cmavo-compound			   	UI*3      	例示終わり （ mu'a 例えば - mu'acu'i 例を挙げるまでもなく - mu'anai 例示終わり）	心態詞（談話系）；「lo flira .e lo birka .e mu'anai so'i da pu se tunta lo blusfani／顔とか腕とか、とにかくあちこち蚊に刺された。」 ・読み方： ムハナイ
mu'e	cmavo   	-muf-		   	NU1      	時点抽象 ： 抽象詞；  bridi の左に付いて、その bridi が内包する時点を抽出する； 抽象の焦点となる sumti を ce'u に替えて置ける； bridi の範囲を含めた全体が１つの selbri となる； 冠詞を左に加えると sumti になる；x_1 は［bridi］に表される時点	・大意： 抽象： 時点 ・読み方： ムヘ
mu'ei	experimental cmavo			   	ROI      	確率 ： 数量詞の右について、可能世界の bridi の確率性を表す	試験的 cmavo。「munje」からの派生。「me'i mu'ei na xamgu／必ずしも良いことではない」「no mu'ei fasnu／絶対に起こりえない」 ・読み方： ムヘイ
mu'i	cmavo			   	BAI      	～が動機となって ： mukti 法制詞, x_1	・読み方： ムヒ
mu'o	cmavo			   	COI      	発話終了 ：心態詞（呼応系）； 自分の発話を終え、相手の発話を待機する；	メールの結びによく使われる ・読み方： ムホ
mu'onai	cmavo-compound			   	COI*      	発話未了 ：心態詞（呼応系）； 自分の発話がまだ終わっておらず、残りがあることを示す	物語の各エピソードの結びに付ける「つづく」なども。 ・読み方： ムホナイ
mu'u	cmavo			   	BAI      	～を例として ： mupli 法制詞, x_1	「so'i gugde be mu'u lo pongu'e／日本をはじめとする多くの国々」 ・読み方： ムフ
my	cmavo			   	BY2      	m ： 字詞；	・読み方： ムァ
na	cmavo   	-nar-		   	NA      	命題否定 ： 文中で右に続く語すべてをその命題に関して否定する； 特定の語を否定するのは na'e	・大意： 命題否定 ・読み方： ナ
na.a	cmavo-compound			   	A*      	sumti 論理含有／～なら～ ： 接続詞（論理・後置・sumti）； 前部が真なら後部は真；	・読み方： ナア
na'a	cmavo			   	BY1      	文字コード・シフト解除 ：	・読み方： ナハ
na'e	cmavo   	-nal-		   	NAhE      	段階否定（～以外の／～ではなく） ： 段階詞；	・大意： 段階： 非 ・読み方： ナヘ
nagi'a	cmavo-compound			   	GIhA*      	bridi 論理含有／～なら～ ： 接続詞（論理・後置・bridi）； 前部が真なら後部は真；	・読み方： ナギハ
nai	cmavo			   	NAI      	小構造否定 ： 左の語を否定する。命題否定か、対義否定か、段階否定かは、左の語の selma'o によって異なる。	TAhE, ROI, ZAhO 以外の間制や、法制や、論理接続や、 NU に付くと、矛盾否定 {na} と同じ意味になる。 TAhE, ROI, ZAhO や、非論理接続 JOI, BIhI に付くと、段階否定 {na'e} と同じ意味になる。 UI, CAI, COI に付くと、対義否定 {to'e} と同じ意味になる。 ・読み方： ナイ
na'i	cmavo			   	UI3a      	メタ言語否定	心態詞（談話系）； 命題を否定せずに心態面における否定を表す； 肯定文でも使える「xu do krici lo du'u ganai jajgau lo ze bolci gi lo cevni drakono cu tolcanci - .i na'i mi pu viska／7つの玉を集めれば神龍が現れるって信じてるの？ ― いや、私は見たことがあるのだ」 ・読み方： ナヒ ・関連語： {naldra}, {nalmapti}
naja	cmavo-compound			   	JA*      	tanru 論理含有／～なら～ ： 接続詞（論理・後置・tanru）； 前部が真なら後部は真；	・読み方： ナジャ
na'o	cmavo			   	TAhE      	典型的に／形式的に ： 相制詞（時間・間隔）； デフォルトは時間	・読み方： ナホ
na'onai	cmavo-compound			   	TAhE*      	型にはまらずに／形式から外れて ： 相制詞（時間・間隔）； デフォルトは時間	「na'onai leckla／珍しく遅刻する」 ・読み方： ナホナイ
nau	cmavo			   	CUhE      	照合点 ： 間制詞； 話者自身に関して現在の絶対時空間を表す（一方の ca は文脈に左右される相対的なもの）	・読み方： ナウ
na'u	cmavo			   	NAhU      	selbri → 演算子 ： selbri をMEX（数式）演算子に変換する； cmavo として用意されていない演算子を捻出するのに用いる	・読み方： ナフ
ne	cmavo			   	GOI      	関連 sumti （非制限） ： 関係詞（非制限）； 左の sumti に別の（非同一、しかし関連する） sumti を結びつける	・読み方： ネ
ne'a	cmavo			   	FAhA3      	～の近隣に ： 間制詞（空間・方向）；	・読み方： ネハ
nei	cmavo			   	GOhA      	この bridi ： 代詞（bridi）； 現在の発話における bridi を再利用する	・読み方： ネイ
ne'i	cmavo			   	FAhA3      	～の中に／内側で ： 間制詞（空間・方向）；	・読み方： ネヒ
ne'o	cmavo			   	VUhU3      	階乗 ： 数理演算子（単一項）； [a!]	・読み方： ネホ
ne'u	cmavo			   	FAhA1      	～の南方に／南側で ： 間制詞（空間・方向）；	・読み方： ネフ
ni	cmavo   	-nil-		   	NU      	数量抽象 ： 抽象詞； bridi の左に付いて、その bridi が内包する数量を抽出する； 抽象の焦点となる sumti を ce'u に替えて置ける； bridi の範囲を含めた全体が１つの selbri となる； 冠詞を左に加えると sumti になる；x_1 は［bridi］に表される数量、 x_2 （尺度）の	・大意： 抽象： 数量 ・読み方： ニ  ・関連語： {klani}
ni'a	cmavo			   	FAhA2      	～の下方に／下側で ： 間制詞（空間・方向）；	・読み方： ニハ
ni'e	cmavo			   	NIhE      	selbri → オペランド ： selbri をMEX（数式）オペランドに変換する；	・読み方： ニヘ
ni'i	cmavo			   	BAI      	～の論理で ： nibli 法制詞, x_1	・読み方： ニヒ
ni'u	cmavo			   	PA3      	負数／マイナス記号（－） ： 数量詞；	・読み方： ニフ
no	cmavo   	-non-		   	PA1      	0 ： 数量詞；	・大意： 0 ・読み方： ノ
no'a	cmavo			   	GOhA      	外 bridi ： 代詞（bridi）； 1つ上の階層の bridi を指示する	・読み方： ノハ
no'e	cmavo   	-nor-   	-no'e-	   	NAhE      	段階中間 ： 段階詞； je'a と to'e の中間	・大意： 段階： 中間 ・読み方： ノヘ ・関連語： {nutli}, {midju}, {milxe}; {je'a}, {na'e}, {to'e}
noi	cmavo			   	NOI      	関連 bridi ： 関係詞（非制限）； 左の sumti に関連する bridi を結びつける	「pu viska lo nu ro da noi spesi'u jo'u verba jo'u gerku cu lacpu lo carce gi'e klave'u kei .u'i／夫婦で、子供と犬とみんないつしよに車をひつぱつて行商してゐるのを見た、おもしろいなあ。」（山頭火『行乞記』） ・読み方： ノイ
no'o	cmavo			   	PA5      	平均数値 ： 数量詞； 文脈に依存する典型的／平均的な数値量	・読み方： ノホ
no'u	cmavo			   	GOI      	同一 sumti ： 関係詞（非制限）； 左の sumti と同一の sumti を結びつける	・読み方： ノフ
nu	cmavo   	-nun-		   	NU      	事象抽象 ： 抽象詞； bridi の左に付いて、その bridi が内包する事象を抽出する； 抽象の焦点となる sumti を ce'u に替えて置ける； bridi の範囲を含めた全体が１つの selbri となる； 冠詞を左に加えると sumti になる；x_1 は［bridi］に表される事象	NUの中では su'u に次いで抽出対象が最も広い。 過程（pu'u）／時点（mu'e）／動作（zu'o）／状態（za'i）／経験（li'i）も含まれる。 ・大意： 抽象： 事象 ・読み方： ヌ  ・関連語： {fasnu}
nu'a	cmavo			   	NUhA      	演算子 → selbri ： MEX（数式）演算子を selbri に変換する	・読み方： ヌハ
nu'e	cmavo			   	COI      	約束 ：心態詞（呼応系）；	「nu'e do'u mi ba gasnu ti／これは私があとでやっておくね」 ・読み方： ヌヘ
nu'ecu'i	cmavo-compound			   	COI*      	約束解除 ：心態詞（呼応系）；	・読み方： ヌヘシュヒ
nu'enai	cmavo-compound			   	COI*      	非約束 ：心態詞（呼応系）；	・読み方： ヌヘナイ
nu'i	cmavo			   	NUhI      	名辞グループ開始（前置型） ： 同じ述辞のPS上に複数の名辞（項辞や付辞）を並べる際、その名辞のグループの始まりを示す； グループの終わりは nu'u で示す	「klama nu'i ge lo zarci (x_2) lo briju (x_3) nu'u gi lo zdani (x_2) lo ckule (x_3) [nu'u]／店(x_2)から会社(x_3)に行き、家(x_2)から学校(x_3)に行く」 ・読み方： ヌヒ ・関連語： {ce'e}; {nu'u}
nu'o	cmavo   	-nu'o-		   	CAhA      	可能だが未了 ： 相制詞（モダリティ）； 潜在的に可能だが未だ実現していない	「nu'o klama／行き損ねる」 ・大意： 可能だが未実現 ・読み方： ヌホ ・関連語： {kakne}
nu'u	cmavo			   	NUhU      	名辞グループ終了（前置型） ： 境界詞； NUhI で開かれた名辞グループの範囲を閉じる	・読み方： ヌフ
ny	cmavo			   	BY2      	n ： 字詞；	・読み方： ヌァ
o	cmavo			   	A      	sumti 否定排他的論理和（XNOR）／同値（iff） ： 接続詞（論理・後置・sumti）； 前部と後部は共に真あるいは共に偽	・読み方： オ
o'a	cmavo			   	UI1      	誇り （ o'a 誇り - o'acu'i 謙遜 - o'anai 恥辱）	心態詞； それを誇る気持 「.o'a ju'i mamta mi kakne lo nu tcidu／ねえママ、ちゃんと読めるよ」 ・読み方： オハ  ・関連語： {jgira}, {ga'i}
o'acu'i	cmavo-compound			   	UI*1      	謙遜 （ o'a 誇り - o'acu'i 謙遜 - o'anai 恥辱）	心態詞； それにたいする誇りに関して謙遜する気持 「.o'a cu'i ba'e mi lumci pi su'o po'o le loldi／いやあ、私なんて床をちょっと掃除しただけです」 ・読み方： オハシュヒ ・関連語： {cumla}, {ga'i} {nai}
o'anai	cmavo-compound			   	UI*1      	恥辱 （ o'a 誇り - o'acu'i 謙遜 - o'anai 恥辱）	心態詞； それを恥じる気持「.o'anai muvdu frili cinmo／動き易い心を恥ぢる」（山頭火『行乞記（二）』）「.o'a nai srera mrilu lo prami xatra ba'e lo mriste／ああっ、間違えてラブレターの宛先をメーリングリストにしちゃった」  ・読み方： オハナイ ・関連語： {ckeji}
obu	bu-letteral			   	BY*      	o ： 字詞	・読み方： オブ
o'e	cmavo			   	UI1      	親近 （ o'e 親近 - o'enai 隔絶）	心態詞； それを身近に感じる気持； なれなれしい気持 「.o'e mi do ba kansa lo nu vitke lo mikce／病院に行くの、付き添ってあげる」 ・読み方： オヘ  ・関連語： {cnijbi}, {cnikansa}
o'enai	cmavo-compound			   	UI*1      	隔絶 （ o'e 親近 - o'enai 隔絶）	心態詞； それを身近に感じない気持； よそよそしい気持「赤の他人」「.o'e nai doi dirba mi to'e cinmo fi do／ねえ君、私は君のことなんか何とも思っていない」 ・読み方： オヘナイ ・関連語： {cnida'o}
oi	cmavo			   	UI1      	不快 （ oi 不快 - oinai 快適）	心態詞； それにたいする不快や不満を感じて訴えたい気持「おいおい」「.oi mi cortu le kanla／ううっ、目が痛い」 ・読み方： オイ  ・関連語： {pante}
o'i	cmavo			   	UI1      	用心 （ o'i 用心 - o'inai 軽率）	心態詞； 可能性や危険にたいして備える気持； 焦らない気持「転ばぬ先の杖」「o'i fagri snuti／火の用心」「.o'i le loldi cu se sakli／床が滑るから気をつけて」 ・読み方： オヒ  ・関連語： {seljde}, {capyrivbi}, {capfanta}, {srerivbi}, {srefanta}, {naldarsi}
oinai	cmavo-compound			   	UI*1      	快適 （ oi 不快 - oinai 快適）	心態詞； それにたいする文句が湧いてこない情況 「.oi nai glare cakla／うふっ、ホットチョコレート！」 ・読み方： オイナイ ・関連語： {selpu'a}, {kufra}
o'inai	cmavo-compound			   	UI*1      	軽率 （ o'i 用心 - o'inai 軽率）	心態詞； 可能性にたいする覚悟を欠いて早まる気持； 焦る気持「なんだっていいじゃん」「ああさっさと終わらせたい」「.o'i nai ko gunta／いいから突撃しろ！」 ・読み方： オヒナイ  ・関連語： {darsi}
onai	cmavo-compound			   	A*      	sumti 排他的論理和（XOR） ： 接続詞（論理・後置・sumti）； 前部と後部はどちらかだけ真	・読み方： オナイ
o'o	cmavo			   	UI1      	寛容 （ o'o 寛容 - o'ocu'i 辛抱 - o'onai 憤怒）	心態詞； 一般には反感の的となるそれにたいして寛大に許容する気持 「.o'o ko za'u re'u troci／構いません、もう一度やってみてください」・読み方： オホ  ・関連語： {xendo}, {de'acni}
o'ocu'i	cmavo-compound			   	UI*1      	辛抱 （ o'o 寛容 - o'ocu'i 辛抱 - o'onai 憤怒）	心態詞； 積極的に許容はしないが辛抱はしておくという気持「やれやれ、しょうがないなぁ」「.o'o cu'i ma pu mukti fi do／怒らないけど、どういうつもりだったの？」 ・読み方： オホシュヒ  ・関連語： {racli}, {to'ersteba}
o'onai	cmavo-compound			   	UI*1      	憤怒 （ o'o 寛容 - o'ocu'i 辛抱 - o'onai 憤怒）	心態詞； もう我慢ならないという気持； 堪忍袋の緒が切れる 「.o'o nai lo xanto cu fanta lo nu mi pagre／くそうっ、象が邪魔で通れない」 ・読み方： オホナイ  ・関連語： {fengu}
o'u	cmavo			   	UI1      	くつろぎ （ o'u くつろぎ - o'ucu'i 平静 - o'unai 緊張）	心態詞； ゆったりくつろぐ気持 「.o'u ti zabna se lifri／あー、極楽、極楽！」 ・読み方： オフ  ・関連語： {surla}
o'ucu'i	cmavo-compound			   	UI*1      	平静 （ o'u くつろぎ - o'ucu'i 平静 - o'unai 緊張）	心態詞； 緊張を覚えない情況 「.o'u cu'i mi pu tinbe lo selfla／私は法に従ったまでだ」  ・読み方： オフシュヒ ・関連語： {cnilanxe}
o'unai	cmavo-compound			   	UI*1      	緊張 （ o'u くつろぎ - o'ucu'i 平静 - o'unai 緊張）	心態詞； 緊張に見舞われる情況； ストレスを感じる 「.o'u nai le mi bersa cu zvati ma／大変だ、私の息子はどこ？」 ・読み方： オフナイ ・関連語： {dunku}
pa	cmavo   	-pav-		   	PA1      	1 ： 数量詞；	・大意： 1 ・読み方： パ
pa'a	cmavo			   	BAI      	～が並行して／～が共に ： panra 法制詞, x_1	・読み方： パハ
pa'e	cmavo			   	UI3      	公平 （ pa'e 公平 - pa'enai 偏見）	心態詞（談話系）；「pa'e la'anai do jinga／公正中立に見て、あなたに勝ち目はない。」 ・読み方： パヘ  ・関連語： {tcinydracu'a}, {tcinydrapai}, {vudypai}
pa'enai	cmavo-compound			   	UI*3      	偏見 （ pa'e 公平 - pa'enai 偏見）	心態詞（談話系）；「pa'enai pixra fi lo verba gi'e na condi／所詮、子供の絵だ、深みはない。」「pa'enai do pa moi ro da lo ka melbi／誰が何と言おうと、あなたが一番可愛い。」 ・読み方： パヘナイ
pai	cmavo			   	PA5      	円周率 ： 数量詞；	・読み方： パイ
pa'i	cmavo			   	VUhU2      	比率 ： 数理演算子（2変数）；a の b に対する比, a:b	・読み方： パヒ
pa'o	cmavo			   	FAhA3      	～を通過して／通り越して ： 間制詞（空間・方向）；	・読み方： パホ
pau	cmavo			   	UI3a      	？マーク （ pau ？マーク - paunai 修辞的疑問）	心態詞（談話系）； 左隣の語に係る； どこにでも投入できる「pau do ze'u lo nicte cu gunka tezu'e lo nu ti xu mulno／あなたが夜中ずっと働いたのは、 *これ* を仕上げるためだったのですか？」「pau pei／ご質問は？」 ・読み方： パウ  ・関連語： {preti}
pa'u	cmavo			   	BAI      	～を部分／要素として ： pagbu 法制詞, x_1	・読み方： パフ
paunai	cmavo-compound			   	UI*3      	修辞的疑問 （ pau ？マーク - paunai 修辞的疑問）	心態詞（談話系）； 本当に疑問に思っているのではなく、話の流れのために修辞的な疑問表現を使っていることを表す「ta mo paunai ／あれは何やってるんだか、やれやれ。」 ・読み方： パウナイ
pe	cmavo			   	GOI      	関連 sumti （制限） ： 関係詞（制限）； 左の sumti が表しうる対象のうち、右の sumti に関連するものだけを特に指定する	「lo gerku pe lo ta panka／あの公園の犬」 ・読み方： ペ
pe'a	cmavo   	-pev-		   	UI3c      	比喩 ： 左の語句が比喩的であることを示す	「pe'a va'o loi se vikmi cu cipnrgruidae／掃き溜めに鶴だ。」 ・大意： 標識： 比喩 ・読み方： ペハ
pe'e	cmavo			   	PEhE      	名辞グループ連結 ： 後続の語句を名辞グループとして先行のグループに結びつける	・読み方： ペヘ
pei	cmavo			   	CAI      	心態疑問	心態詞； 左の心態詞が表す感情を覚えるかどうかを相手に尋ねる ・読み方： ペイ
pe'i	cmavo			   	UI2      	思考	心態詞（認識系）；「pe'i lo rivli'a cu se tolsi'a／逃げるのは卑怯だと思う」 ・読み方： ペヒ  ・関連語： {jinvi}
pe'o	cmavo			   	PEhO      	前置型MEX演算子 ： MEX（数式）の範囲の始まりを示す前置型標識； ポーランド式演算子など	・読み方： ペホ
pe'u	cmavo			   	COI      	要求 ：心態詞（呼応系）； e'o と違い、頼む相手が聞き手であることを明示する。	「pe'u do'u bevri ra ti／それをこちらに持ってきてくれますか」 ・読み方： ペフ
pi	cmavo   	-piz-		   	PA3      	小数点／基数点／対数底（てい） ： 数量詞； 右の数量詞に関して「全体量のうちの～」も表す	「pi mu nanba／半分のパン」「nanba pi mu si'e／パンの半分量」「pi re nanba／5分の1のパン」「pi mu cu'o／五分五分の確率で」「citka pi so'u nanba／パンのほんの少しを食べる」「pi so'o roi klaku／（或る時間範囲において）何度か泣く」 ・大意： 数学的底（てい） ・読み方： ピ
pi'a	cmavo			   	VUhU4      	行（row） ： 数理演算子（n変数）； 行のベクトルとしてオペランドが働く	・読み方： ピハ
pi'ai	experimental cmavo			   	KE      	単位 tanru 開始 ： 境界詞；単位を表す tanru 内のグループの開始を示す； te'ai とともに使う； 場所構造が tertau と異なるような tanru を作ることができる	「x_1 pi'ai mitre snidu te'ai ni'u pa x_2 x_3 ／ x_1 の速度は x_2 m/s （基準 x_3 による）」 ・読み方： ピハイ ・関連語： {pi'i}, {te'ai}
pidu'e	cmavo-compound			   	PA*      	多過ぎる ： 数量詞；	・読み方： ピフゥヘ
pi'e	cmavo			   	PA3      	数分離 ： 数量詞； （16進数以下での）数の分離を示す； 時分秒や年月日を表すのに用いる	「ti'u pa pi'e cino／1時30分」「de'i renonopa pi'e so pi'e papa／2001年9月11日」 ・読み方： ピヘ
pi'i	cmavo			   	VUhU1      	掛け算 ： 数理演算子（n変数）； [(((a * b) * c) * ...)]	・読み方： ピヒ
pi'o	cmavo			   	BAI      	～が使って／～を使用者として ： pilno 法制詞, x_1	・読み方： ピホ
pi'u	cmavo   	-piv-		   	JOI      	直積集合／デカルト積 ： 接続詞（非論理・sumti/selbri）；	「la djeimyz. ce[bo] la djordj. pi'u la meris. cebo la martas. cu prami se remei／［ジェームズとジョージ］集合と［メアリとマルタ］集合の直積集合は恋人ペアの集合だ」（この直積集合の元は4つの順序対（ジェームズ、メアリ）、（ジェームズ、マルタ）、（ジョージ、メアリ）、（ジョージ、マルタ）となっている。つまり全員二股をかけている。） ・大意： 直交積 ・読み方： ピフ
po	cmavo			   	GOI      	特有 sumti ： 関係詞（制限）； 左の sumti が右の sumti に特有であることを示す； 一般にいう物理的／法的所有を表す	「lo karce po mi／私の車」 ・読み方： ポ
po'e	cmavo			   	GOI      	従属 sumti ： 関係詞（制限）； 左の sumti が右の sumti に従属することを示す； 分離できない関係を表す	「lo rebla po'e lo gerku／犬のシッポ」 ・読み方： ポヘ
poi	cmavo			   	NOI      	関連 bridi （制限） ： 関係詞（制限）； 左の sumti に関連する bridi を結びつける	「.u'u lo litru pe lo nu voksa poi mutce simsa tu'a lo patfu cu se badri／父によう似た声が出てくる旅はかなしい」（山頭火『行乞記（二）』） ・読み方： ポイ
po'i	cmavo			   	BAI      	～を並び方として／配列～を作って ： porsi 法制詞, x_1	・読み方： ポヒ
po'o	cmavo			   	UI3b      	～だけ／たった～	心態詞（談話系）；「do po'o klama／あなただけが来た」 ・読み方： ポホ  ・関連語： {pamei}, {mulno}, {frica}
po'u	cmavo			   	GOI      	同一 sumti ： 関係詞（制限）； 左の sumti と同一の sumti を結びつける	・読み方： ポフ
pu	cmavo			   	PU      	過去 ： 間制詞（時間・方向）； [sumti] の左に付いて、その [sumti] よりも以前の時点で [selbri] が起こったことを表す； sumti は省略できる； sumti を欠いて selbri の左隣に来るときはその selbri と一体化して１つの selbri とみなされる（従ってこれをそのまま冠詞で sumti 化できる）； 他の制詞と組み合わせられる	・読み方： プ
pu'a	cmavo			   	BAI      	～を楽しんで／～がおもしろくて ： pluka 法制詞, x_1	・読み方： プハ
pu'e	cmavo			   	BAI      	～を過程／プロセスとして ： pruce 法制詞, x_1	・読み方： プヘ
pu'i	cmavo   	-pus-		   	CAhA      	可能かつ完了 ： 相制詞（モダリティ）； 実現された可能性を表す	・大意： 可能かつ実現 ・読み方： プヒ ・関連語： {kakne}
pu'o	cmavo			   	ZAhO      	将前 ： 相制詞； 物事が起こるすぐ以前の段階にあるのを表す	・読み方： プホ
pu'u	cmavo   	-puv-		   	NU1      	過程抽象 ： 抽象詞； bridi の左に付いて、その bridi が内包する過程を抽出する； 抽象の焦点となる sumti を ce'u に替えて置ける； bridi の範囲を含めた全体が１つの selbri となる； 冠詞を左に加えると sumti になる；x_1 は［bridi］に表される過程、 x_2 （段階）の	・大意： 抽象： 過程 ・読み方： プフ  ・関連語： {pruce}
py	cmavo			   	BY2      	p ： 字詞；	・読み方： プァ
ra	cmavo			   	KOhA5      	さきほどの sumti ： 代詞（sumti）； 直前の sumti （ri）とずっと前の sumti （ru）の間の何らかの sumti を指す	・読み方： ラ
ra'a	cmavo			   	BAI      	～が関連／関係して／関わって ： srana 法制詞, x_1	・読み方： ラハ
ra'e	cmavo			   	PA3      	小数反復 ： 数量詞； 右の小数数量詞のまとまりが以降ずっと反復するのを表す	pi 35 ra'e 14285／.35142857142857...」 ・読み方： ラヘ
rai	cmavo			   	BAI      	～を最上として／～が最高の ： traji 法制詞, x_1	・読み方： ライ
ra'i	cmavo			   	BAI      	～を起源として ： krasi 法制詞, x_1	・読み方： ラヒ
ra'i'au	experimental cmavo			   	UI5      	このままでいたい （{ra'i'au} このままでいたい - {ra'i'aucu'i} あるがままを受け入れる - {ra'i'aunai} はやく脱したい）	心態詞（修飾系）；話者がその感情や状況が続いてほしいことを表す； {ranji} + {au} から；
ra'i'aucu'i	cmavo-compound			   	UI5      	あるがままを受け入れる （{ra'i'au} このままでいたい - {ra'i'aucu'i} あるがままを受け入れる - {ra'i'aunai} はやく脱したい）	心態詞（修飾系）；話者がその感情や状況を受け入れようとしていたり、あまり頓着していないことを表す； {ranji} + {au} から；
ra'i'aunai	cmavo-compound			   	UI5      	はやく脱したい （{ra'i'au} このままでいたい - {ra'i'aucu'i} あるがままを受け入れる - {ra'i'aunai} はやく脱したい）	心態詞（修飾系）；話者がその感情や状況が早く終わってほしいことを表す； {ranji} + {au} から；
ra'o	cmavo			   	RAhO      	代詞更新 ： GOhA類代詞の右に付いてそれを文脈に即して更新する	「A: mi ctidji B:go'i ra'o／A: おなかがすいた B: 私も」 ・読み方： ラホ
ra'oi	experimental cmavo			   	RAhOI      	rafsi 標識。 rafsi を sumti に変える。	その rafsi の前後に空白やポーズを置く必要がしばしばあることに注意。 構文解析器 zantufa-0.14 以上では ra'oi を selma'o RAhOI として解析する ( http://guskant.github.io/gerna_cipra/zantufa-0.14.html )。 例： ra'oi.cra .i ra'oi.cac .i ra'oicai .i ra'oicacy .i ra'oi.gismy .i ra'oigismu
rau	cmavo			   	PA4      	十分な ： 数量詞；	・読み方： ラウ
ra'u	cmavo			   	UI3      	特に （ ra'u 特に - ra'ucu'i 同様に - ra'unai ついでながら）	心態詞（談話系）；「ti ra'u kukte／これが特においしい」 ・読み方： ラフ  ・関連語： {ralju}, {vajni}
ra'ucu'i	cmavo-compound			   	UI*3      	同様に （ ra'u 特に - ra'ucu'i 同様に - ra'unai ついでながら）	心態詞（談話系）；「ti ra'ucu'i kukte／これも同様においしい」 ・読み方： ラフシュヒ
ra'unai	cmavo-compound			   	UI*3      	ついでながら （ ra'u 特に - ra'ucu'i 同様に - ra'unai ついでながら）	心態詞（談話系）；「ti ra'unai kukte／ついでに言うとこれもおいしい」 ・読み方： ラフナイ
re	cmavo   	-rel-		   	PA1      	2 ： 数量詞；	・大意： 2 ・読み方： レ
