a	cmavo   \nA      \nlogical connective: sumti afterthought or.
ru'urvu'efu	fu'ivla      \nx_1 is measured in currency with code ISO-4217  ''VEF'' (Venezuela, Bolivares Fuertes) as x_2 (number).\nSee also {rupnu}, {jdini}
ru'urvunudu	fu'ivla      \nx_1 is measured in currency with code ISO-4217  ''VND'' (Viet Nam, Dong) as x_2 (number).\nSee also {rupnu}, {jdini}
ru'urvu'uvu	fu'ivla      \nx_1 is measured in currency with code ISO-4217  ''VUV'' (Vanuatu, Vatu) as x_2 (number).\nSee also {rupnu}, {jdini}
ru'urxekudu	fu'ivla      \nx_1 is measured in currency with code ISO-4217  ''HKD'' (Hong Kong, Dollars) as x_2 (number).\nSee also {rupnu}, {jdini}
ru'urxenulu	fu'ivla      \nx_1 is measured in currency with code ISO-4217  ''HNL'' (Honduras, Lempiras) as x_2 (number).\nSee also {rupnu}, {jdini}
ru'urxeruku	fu'ivla      \nx_1 is measured in currency with code ISO-4217  ''HRK'' (Croatia, Kuna) as x_2 (number).\nSee also {rupnu}, {jdini}
ru'urxetugu	fu'ivla      \nx_1 is measured in currency with code ISO-4217  ''HTG'' (Haiti, Gourdes) as x_2 (number).\nSee also {rupnu}, {jdini}
ru'urxe'ufu	fu'ivla      \nx_1 is measured in currency with code ISO-4217  ''HUF'' (Hungary, Forint) as x_2 (number).\nSee also {rupnu}, {jdini}
ru'urxu'afu	fu'ivla      \nx_1 is measured in currency with code ISO-4217  ''XAF'' (Communauté Financière Africaine BEAC, Francs) as x_2 (number).\nSee also {rupnu}, {jdini}
ru'urxu'agu	fu'ivla      \nx_1 is measured in currency with code ISO-4217  ''XAG'' (Silver, Ounces) as x_2 (number).\nSee also {rupnu}, {jdini}
ru'urxu'a'u	fu'ivla      \nx_1 is measured in currency with code ISO-4217  ''XAU'' (Gold, Ounces) as x_2 (number).\nSee also {rupnu}, {jdini}
ru'urxucudu	fu'ivla      \nx_1 is measured in currency with code ISO-4217  ''XCD'' (East Caribbean Dollars) as x_2 (number).\nSee also {rupnu}, {jdini}
ru'urxuduru	fu'ivla      \nx_1 is measured in currency with code ISO-4217  ''XDR'' (International Monetary Fund (IMF) Special Drawing Rights) as x_2 (number).\nSee also {rupnu}, {jdini}
ru'urxu'ofu	fu'ivla      \nx_1 is measured in currency with code ISO-4217  ''XOF'' (Communauté Financière Africaine BCEAO, Francs) as x_2 (number).\nSee also {rupnu}, {jdini}
ru'urxupudu	fu'ivla      \nx_1 is measured in currency with code ISO-4217  ''XPD'' (Palladium Ounces) as x_2 (number).\nSee also {rupnu}, {jdini}
ru'urxupufu	fu'ivla      \nx_1 is measured in currency with code ISO-4217  ''XPF'' (Comptoirs Français du Pacifique Francs) as x_2 (number).\nSee also {rupnu}, {jdini}
ru'urxuputu	fu'ivla      \nx_1 is measured in currency with code ISO-4217  ''XPT'' (Platinum, Ounces) as x_2 (number).\nSee also {rupnu}, {jdini}
ru'urzu'aru	fu'ivla      \nx_1 is measured in currency with code ISO-4217  ''ZAR'' (South Africa, Rand) as x_2 (number).\nSee also {rupnu}, {jdini}
ru'urzumuku	fu'ivla      \nx_1 is measured in currency with code ISO-4217  ''ZMK'' (Zambia, Kwacha) as x_2 (number).\nSee also {rupnu}, {jdini}
ru'urzuvedu	fu'ivla      \nx_1 is measured in currency with code ISO-4217  ''ZWD'' (Zimbabwe, Zimbabwe Dollars) as x_2 (number).\nSee also {rupnu}, {jdini}
ruxse'i	lujvo      \np_1=s_1 is the soul / spiritual self of s_2.\nMade from {pruxi} + {sevzi}.
ruxyzau	lujvo      \nz_1=p_1 blesses / gives spiritual favour to plan / action z_2.\nMade from {pruxi} + {zanru}.
ry	cmavo   \nBY2      \nletteral for r.
sa	cmavo   \nSA      \nerase complete or partial utterance; next word shows how much erasing to do.
sa'a	cmavo   \nUI3a      \ndiscursive: material inserted by editor/narrator (bracketed text).\nSee also {setca}.
sa'agri	lujvo      \ng_1=s_1 is a choir singing s_2 to audience s_3.\nCf. {zgike}, {zgigri}.
sa'ai	experimental cmavo   \nLOhAI      \nstart quote of replacement for recent mistakenly uttered text\nSee {le'ai}.
sa'alsa	fu'ivla      \nx_1 is the salsa (dance type/choreography), danced by x_2 to music x_3\nPlace structure based on {dansytai}. See {tamdansu}, {dansu}. For salsa as in sauce, see {xipxunsanso}, {mexri'osanso}, {mexyxeksanso}, {itlori'osanso}
sabji	gismu   \n-sab-      \nx_1 [source] provides/supplies/furnishes x_2 [supply/commodity] to x_3 [recipient].\nAgentive supply (= {sabgau}, {sabzu'e}).  See also {krasi}, {sorcu}.
sabnu	gismu      \nx_1 is a cabin of vehicle x_2.\nSee also {bloti}, {marce}, {vinji}, {karce}.
sacki	gismu      \nx_1 is a match [incendiary device] made of x_2.\nSee also {fagri}, {jelca}.
sackycmu	lujvo      \nx_1 is phosphorus.
sackyta'e	lujvo      \nt_1 is a matchbox made of material t_3.\nSee also: {sacki}, {tanxe}
saclu	gismu      \nx_1 (me'o) is the [decimal/binary] equivalent of fractional x_2 (me'o) in base x_3 (quantity).\nConversion from fractions to decimal-point based notation. See also {namcu}, {frinu}.
sadjo	gismu   \n-djo-      \nx_1 reflects Saudi Arabian culture/nationality in aspect x_2.\nSee also {xrabo}.
sa'e	cmavo   \nUI3      \ndiscursive: precisely speaking - loosely speaking.\nSee also {satci}, {jibni}.
sa'ei	experimental cmavo   \nCOI2      \nConverts following cmevla or zoi-quote into onomatopoeia. (bam! crash! kapow! etc.)\nNarrower term than {tai'i}. See also {sance}, {ci'oi}, {ki'ai}.
sa'ei zei gerna	zei-lujvo      \nx_1 is the grammar of language x_2 applied to onomatopoetic text x_3
sa'ei zei valsi	zei-lujvo      \nx_1 is an onomatopoeia, a word that sounds like what it represents\nExamples are &quot;gurgle&quot; or &quot;hiss&quot;. See {sa'ei}, {ki'ai}, {valsi}
sa'enai	cmavo-compound   \nUI*3      \ndiscursive: precisely speaking - loosely speaking.
sagdraci	lujvo      \nd_1=s_2 is an opera about d_2 [plot/theme/subject] by composer d_3 for audience d_4=s_3 with singers d_5.\nCf. {sanga}, {draci}, {sagjvetavdraci}, {nolzgi}.
sagjvetavdraci	lujvo      \nd_1=s_2=t_3 is a musical/operetta about d_2 composed/written by d_3 for audience d_4=s_3=t_2 with actors d_5=s_1=t_1.\nCf. {sanga}, {je}, {tavla}, {draci}, {sagdraci}.
sagypemci	lujvo      \nx_1 are the lyrics for the song/music x_2\nSee {sanga}, {pemci}, {zgike}
sai	cmavo   \nCAI      \nattitudinal: moderate intensity attitude modifier.
sa'i	cmavo   \nVUhU4      \nn-ary mathematical operator: operands are vectors to be treated as matrix columns.
saibu	bu-letteral   \nBY*      \nletteral: '!' symbol
sai'e	experimental cmavo   \nNAhE      \nscalar intensifier: very...\n{rei'e}:{ru'e}:{milxe} ; {noi'e}:{na'oi}:{cnano} ; {sai'e}:{sai}:{mutce} ; {cai'e}:{cai}:{tcetce}. See http://mw.lojban.org/papri/zipcpi:_scalar_modifiers
sailce	fu'ivla      \nx_1 is a willow of species x_2.
saimn	cmevla      \nSimon
sa'irbi'o	lujvo      \nb_1=s_1 stands up/arises onto surface s_2 supported by limbs s_3.\nCf. {sanli}, {binxo}, {galmu'u}.
sairfa'o	lujvo      \nf_1=s_2 is the dessert of meal f_2=s_1\nc.f. {sanmi} {fanmo}
sa'irpi'o	lujvo      \np_1 is an upright piano.
sajbi'o	lujvo      \ns_1=b_1 becomes conscious of / aware of / realizes s_2 (object/abstract) under conditions b_3.\nMade from {sanji} + {binxo}.  binxo2 dropped.
sajgau	lujvo      \nx_1=g_1 alerts x_2=s_1 to x_3=s_2; x_3 is brought to the attention of/is recognized/realized by x_2 by/with the help of/due to agent x_1
sajra'a	lujvo      \nx_1 (du'u) is subjective/pertaining to subjects (things that are 'aware'); x_1 (du'u) depends on subject x_2's perception\ncounterpart is objective {selsajra'a}.
sajysne	lujvo      \nx_1 lucid dreams about/that x_2 (fact/idea/event/state); x_2 is a lucid dream of  x_1
sakartulos	cmevla      \nGeorgia (Caucasus).\nsee also {kartuli}
sakca'ajisygau	lujvo      \ng_1 vacuum-cleans j_1 (area/object)/removing dust/dirt j_2 with vacuum  cleaner c_1.
sakci	gismu   \n-sak-      \nx_1 sucks/is suction/vacuum/relatively low pressure of fluid/gas x_2 relative to high pressure x_3.\nAlso suck object/fluid (= {sakcpu} or {sakmuvgau}).  See also {cokcu}, {lacpu}, {flecu}.
sakcpa	lujvo      \nc_1 sucks (gets by sucking) c_2=s_2 from c_3=s_3\nIf c1 is an animal, s1 is usually in its mouth or nose, and pumping may be involved, as in mosquitoes. See {pambe}.
sakcpu	lujvo      \nl_1=s_1 sucks (pulls) l_2 at locus l_3\nl3 is part of l2, such as a nipple or the upper surface of an airfoil
sakli	gismu   \n-sal-      \nx_1 slides/slips/glides on x_2.\nx_2 is slick/slippery to/for x_1 (= {selsakli} for reordered places).  See also {mosra}, {fulta}, {skiji}, {xutla}.
saksna	lujvo      \nsan_1 is an implosive consonant with place of articulation x_2 and phonation x_3.\ncf. {zunsna}. Conventionally, when used with descriptives, comes after the descriptives, e.g. &quot;{voksli} {denrixtolku'o} saksna&quot; means &quot;voiced alveolar implosive&quot;
saksofono	fu'ivla      \nx_1 is a saxophone\n{xagri} is a more generic term.
saksruseibo'i	lujvo      \nx_1=b_1 is a vacuum/cryogenic flask for keeping x_2=b_2 hot/cold, made of material x_3=b_3 with lid x_4=b_4, insulated by low pressure medium x_5=sa_2=se_3\nCf. {botpi}, {vasru}
sakta	gismu   \n-sat-      \nx_1 is made of/contains/is a quantity of sugar [sweet edible] from source x_2 of composition x_3.\nAlso sucrose, fructose, glucose, galactose, lactose, etc.; saccharine/aspartame/sugar substitute ({basysakta} or {satybasti}, {ticysakta}); x_3: composition including x_3, which need not be complete specification.  See also {silna}, {titla}.
sakyjisygauca'a	lujvo      \ng_1=s_1=c_1 is a vacuum cleaner for cleaning g_2=j_1 (object/area)/removing dust/containment/dirt s_2=j_2 controlled/[triggered] by cleaner x3 (agent).
sakyva'u	lujvo      \nv_1=s_1 inhales v_2=s_2.\nCf. {sakci}, {vasxu}.
salcarce	lujvo      \ns_1=c_1 is a sled/sledge/sleigh/toboggan for carrying c_2, propelled by c_3, sliding on s_2.
salci	gismu   \n-sla-      \nx_1 celebrates/recognizes/honors x_2 (event/abstract) with activity/[party] x_3.\nx_3 (and {nunsla}) festival/fiesta/celebration/occasion/fair/Holiday (some senses). Not limited to the ameliorative interpretation of 'celebrate': funeral (= {mrobixsla}).  See also {sinma}, {jbena}.
salmone	fu'ivla      \nx_1 is a salmon/trout of species x_2.\nsee {finpe}, {sperlanu}
salpika	fu'ivla      \nx_1 sprinkles x_2 onto x_3
salpo	gismu   \n-sa'o-      \nx_1 is sloped/inclined/slanted/aslant with angle x_2 to horizon/frame x_3.\nAlso steep (= {tcesa'o}); normally implies non-rectilinear.  See also {kurfa}, {tutci}.
salri	experimental gismu      \nx_1 is the differintegral of x_2 with respect to x_3 of order x_4 with starting point x_5\nDefinition of which differintegral operator is being used is context dependent. Output x1 is a function, not a value (that is, it is f rather than f(x)); it must be specified/restricted to a value in order to be a value. x2 is likewise a function. If the function has only one variable, x3 defaults to that variable; when x2 is physical, without context, time will probably usually be assumed as the default of x3 (but may be made explicit by {temsalri}). Positive values of x4 are integrals, negative values are derivatives, and zero is identity; at the least, any real value may be supplied for x4; x4 has no default value. Useful for making lujvo for physics, for specifying career/total/sum versus peak/instantaneous value,  for distinguishing between instantaneous versus average values/quantities, for specifying rates, generalized densities (including pressure), &quot;per&quot; for smooth quantities, etc. See also: {salrixo} (synonymous zi'evla).
salrixo	fu'ivla      \nx_1 is the differintegral of x_2 with respect to x_3 of order x_4 with starting point x_5\nDefinition of which differintegral operator is being used is context dependent. Output x1 is a function, not a value (that is, it is f rather than f(x)); it must be specified/restricted to a value in order to be a value. x2 is likewise a function. If the function has only one variable, x3 defaults to that variable; when x2 is physical, without context, time will probably usually be assumed as the default of x3 (but may be made explicit by {temci zei salrixo}). Positive values of x4 are integrals, negative values are derivatives, and zero is identity; at the least, any real value may be supplied for x4; x4 has no default value. Useful for making lujvo for physics, for specifying career/total/sum versus peak/instantaneous value,  for distinguishing between instantaneous versus average values/quantities, for specifying rates, etc. See also: {salri} (synonymous gismu).
salsfe	lujvo      \nx_1 (surface) is slippery
salta	gismu      \nx_1 (mass) is a quantity of salad [food] with ingredients/components including x_2.\nx_2 is in x_1, an ingredient/part/component of x_1.  See also {mixre}, {stasu}.
saltrcefi	fu'ivla      \ns_1 (mass) is a quantity of Chef salad [food] with ingredients/components including k_1=s_2 (mostly fresh leafy vegetables).
saltrkolslo	fu'ivla      \ns_1 (mass) is a quantity of coleslaw salad [food] with ingredients/components including s_2.
saltrpikodegalo	fu'ivla      \nens_1 (mass) is a quantity of pico de gallo/ensalada fresca/salada mexicana [food] with ingredients/components including s_2.\nSee also: mexican salad (={mexsalta}).
saltrsesari	fu'ivla      \ns_1 (mass) is a quantity of Caesar salad [food] with ingredients/components including s_2.\nA salad attributed to restaurateur Caesar Cardini
saltrvaldorfo	fu'ivla      \ns_1 (mass) is a quantity of Waldorf salad [food] with ingredients/components including r_1=s_2.
saltrvinegre	fu'ivla      \ns_1 (mass) is a quantity of vinegret salad [Russian: Винегрет] with ingredients/components including s_2.
saltysanso	lujvo      \nsan_1 is a dressing for use with salad s_2, containing ingredient(s) including s_3.
salvinji	lujvo      \nx_1=v_1 is an airplane/aircraft [flying vehicle] for carrying passengers/cargo x_2=v_2, propelled by slides/slips/glides on x_3=s_2
samca'a	lujvo      \nc_1 is a piece of computer hardware for function c_2 controlled/used by computer c_3=s_1.
samcfi	lujvo      \nx_1 (property (“ka”)) is a bug/defect in computer program or computer system x_2 causing x_3.\nSee also {samcfisisku}.
samcfisisku	lujvo      \nsi_1 debugs [searches for] bug/defect c_1=si_2 (property) in computer system or computer program c_2=si_3=sk_1.\nCf. {samcfi}, {cfisisku}, {skami}, {cfila}, {sisku}.
samcfisistci	lujvo      \nt_1 is a debugger.\nSee also: {samcfisisku}.
samci'a	lujvo      \nc_1 enters textual data c_2 into computer c_3=s_2 by means c_4.\nx4 can be a keyboard, pointing devices, or speech recognition. Cf. {ciska}, {skami}, {batkyci'a}.
samcmu	lujvo      \nx_1=j_1 is an operating system for computer x_2=j_2=s_1.\nFrom {skami} + {jicmu}.
samcrarkti	obsolete fu'ivla      \ns_1 is a quantity of burdock root of species/cultivar s_2 (genus Arctium).
samcrartropodi	fu'ivla      \ns_1 is a quantity of edible roots of rengarenga/maikaika/renga lily/vanilla lily s_2 (genus Arthropodium).
samcrkasava	fu'ivla      \nx_1 is cassava of species/variety x_2.\nsyn. {mandioka}; see also {samcu}
samcrkordiline	fu'ivla      \ns_1 is a quantity of edible roots of tī/palm lily (genus Cordyline) of species/cultivar s_2.
samcrniame	obsolete fu'ivla      \nx_1 is a yam (Dioscorea) of species/variety x_2.\nsee also {samcu}
samcrpakirizu	fu'ivla      \ns_1 is a yam bean/jícama/goiteño/ahipa edible root (genus Pachyrhizus) of species/variety s_2.\nSee also: yam bean (={sparpakirizu};plant), yam bean (={debrpakirizu};bean).
samcrpediomelu	obsolete fu'ivla      \ns_1 is a quantity of Indian breadroots (genus Pediomelum) of species/cultivar s_2.
samcrtaro	fu'ivla      \nx_1 is taro of species/variety x_2.\nsee also {samcu}, {konjaku}
samcrtigridia	obsolete fu'ivla      \ns_1 is a quantity of cacomitl of species/strain x2 (genus Tigridia).\nThe roots of tigridia (={spartigridia}) are edible and were eaten by the Aztecs of Mexico who called it cacomitl.
samcrtragopogo	fu'ivla      \ns_1 is a quantity of salsify [edible starchy root] of species/cultivar s_2 (genus Tragopogon).
samcu	gismu      \nx_1 is a quantity of cassava/taro/manioc/tapioca/yam [edible starchy root] of species/strain x_2.\nSee also {patlu}, {genja}, {jalna}.
samfli	lujvo      \nf_1=s_1 crashes while doing f_2 (state / event)\nCf. {skami}, {fliba}
samfonxa	lujvo      \nx_1 is a smartphone attached to system/network x_2\nSee {skami}, {fonxa}, {ta'orskami}
samgi'o	lujvo      \ng_1 is 2^30 of g_2 in dimension/aspect g_3 (default is units).
samgotro	lujvo      \ng_1 is 2^80 of g_2 in dimension/aspect g_3 (default is units).
samjavyfonxypliduskemjuglerci'analka'ebi'ojaxyja'e	lujvo      \nx_1 becomes incapable of writing characters x_2 of alphabet/writing system x_3, which is reflects chinese culture/languge/etc. in aspect x_4 and which represent x_5, on writing surface/medium x_6 with writing implement x_7 under conditions of being incapable x_8 under conditions of becoming incapable x_9, as a result of x_1 making excessive use of x_10 which is a computer for purpose x_11 or x_12 which is a phone connected to network x_13, used for purpose x_14, excessive by amount x_15.\nThe two &quot;under conditions&quot; places arise from the incorporation of both {kakne} and {binxo}. They are not to be confused. Ilmen inspired the creation of this lujvo.
samjo'e	lujvo      \nComputer j=1=s_1 is connected to computer j_2=s_1 via medium j_3.\nI.e. Network connection. x_3 could be, for example, a cable or network.
samjongau	lujvo      \ng_1 (agent) connects computer j=1=s_1 to computer j_2=s_1 via medium j_3.\nI.e. Network connection. x_4 could be, for example, a cable or network. Cf. {samjo'e}.
samjudri	lujvo      \nj_1 is an adress of / are co-ordinates of computer system / computerized thing j_2=s_1 in system j_3; computerized thing has purpose s_2.\nNormally, s2 might be dropped, but it's very useful to be able to point out if this is a {samymri} address or a {ueb} address.  Made from {skami} + {judri}.
samjudri zei uidje	zei-lujvo      \nu_1 is an address bar of user interface u_2; u_1 is a widget of user interface u_2 for entering an address.\nSee also: {samjudri}, {uidje}.
samka'u	lujvo      \nk1 is an amount of computer elementary particles/smallest measurable increments of computer property/activity k2; k1 is a bit(s)
samkei	lujvo      \nk_1 plays with computer/gaming system/gaming console s_1.\nSee also: video game (={samyzilkei}), playing with video game (={samyzilkeikei}).
samki'o	lujvo      \nk_1 is 1024 (2^10) of k_2 in dimension/aspect k_3 (default is units).
samnarca'igau	lujvo      \ng1=c1 logs out of computer c2 as username c3\nThe username (c3) should be a quoted string. Cf. {gasnu}, {catni}, {skami}, {sampli}, {japyvla}
sampetso	lujvo      \np_1 is 2^50 of p_2 in dimension/aspect p_3 (default is units).
sampla	lujvo      \np_1 makes computer program p_2 which is meant to perform process/purpose p_3.
samplabau	lujvo      \nx_1=b_1 is a programming language used by  x_2=p_1=b_2 to create program x_3=p_2 with intended function x_4=p_3
sample	lujvo      \nx_1 is computer paper from source x_2 for computer/printer x_3.\nsee also {prina}
sampli	lujvo      \np_1 is a computer user / user of computer p_2=s_1 for purpose p_3=s_2.
sampre	lujvo      \nx_1=s_1=p_1 is a computer-person/robot with purpose x_2=s_2\nThe implications of what it means to be a {prenu} are not accounted for. See also: {prenu} and {skami}
sampu	gismu   \n-sap-      \nx_1 is simple/unmixed/uncomplicated in property x_2 (ka).\nSee also {pluja}, {curve}, {frili}, {manfo}.
samrkompli	fu'ivla      \nx_1 is a file compiled from sources / resources x_2 by compiler x_3.\nTrue {fu'ivla}, borrowing &quot;compile&quot;. Contextual type-4 {kompili}. The x1 can be used to refer to binaries or other compiled files.
samrla'a	fu'ivla      \nx_1 is (a file) linked from intermediate files/data/libraries x_2 by linker x_3; x_3 links x_2 into x_1.\nRefers specifically to the linking stage of compilation. {samrkompli} can refer to the overarching build process as a whole, or simply as the stage where source code becomes intermediate files, depending on the type of its x1.
samrsekiurceli	obsolete fu'ivla      \nx_1 connects to/has remote shell session on x_2 over ssh to perform action(s) x_3 (ka of x_1) with credentials x_4.\nContextually, the type-4 &quot;(sec)kiurceli&quot; is a possibility. Also, &quot;x1/x4 performs x3 over ssh&quot;.
samrucpau	lujvo      \npa_1 is a thread of process [computer process] pa_2=pr_1.\nSee also: {samru'e}, {skami}, {pruce}, {pagbu}.
samru'e	lujvo      \np_1 is a computer process with inputs p_2 and outputs/results p_3, passing through stages p_4, on computer s_1.\nTaken from NORALUJV.TXT.  lujvo from {skami} and {pruce}.
samrxra	fu'ivla      \nx_1 is an image file representing x_2 in format x_3 and attributes (e.g. size) x_4 (ka).\nx3 can be filled with a cmevla, e.g. la. djipeg. or la. gif. x4 is for miscellaneous properties associated with the image file, e.g. lo ka se finti la. djan. See also {sfaile}
samselkei	lujvo      \nx_1 is a video game / computer game.\nNeither the player, nor the computer, nor the purpose thereof are intrinsic to the concept of the video game. Refers any game that is played on an electronic device. See also {skami}, {kelci}. 
samselmri	lujvo      \nsm_1 is an e-mail sent by sm_2 (agent) to person / computer sm_3 from person / computer sm_4 by computer network sm_5.\nMade from {skami} + {selmri}.
samselpla	lujvo      \nx_1=p_2 is computer program source code created by x_2=p_1 with intended result (state/process) x_3=p_3=s_2 on computer x_4=s_1.\nSee also {samru'e}.
samselse'u	lujvo      \nse_2=sk_1 is a client [computer] served by server [computer] se_1 with service se_3 (activity).\nNetworking is implied. Note that the term “client” is used quite broadly in English, even if narrowed down to the networking sense. For “samselse'u”, the x_1 and x_2 places are only used to refer to the involved computers. See also: {samse'u}
samseltcana	lujvo      \nt_2 is a/the computer network that includes nodes t_1=s_1 whose function/purpose is s_2.\nCf. {skami}, {tcana}, {mujysamseltcana}, {kagysamseltcana}, {selklosamseltcana}, {tolselklosamseltcana}.
samse'u	lujvo      \nse_1=sk_1 is a server [computer] serving client(s) [computer(s)] se_2 with service se_3 (activity).\nNote that the term “server” is used quite broadly in English. For “samse'u”, the x_1 and x_2 places are only used to refer to the involved computers. See also: {samselse'u}
samske	lujvo      \nx_1 is computer science with science methodology x_2.
samsle	lujvo      \nse1 is an indivisible, most basic computer subunit unit of computer se2; se1 is a bit
samta'a	lujvo      \nt_1 talks via computer to t_2 about t_3 in language t_4.\nCf. {skami}, {tavla}.
samtci	lujvo      \nt_1 is a computer program / tool / application for purpose t_2=s_2 on computer(s) including s_1.
samtcikajna	lujvo      \nk_1 is a toolbar of k_2=t_1 (icons/programs) for purpose k_3=t_2=s_2.\nCf. {skami}, {tutci}, {kajna}.
samtciselse'u	lujvo      \nse_2=sk_1 is a client [computer programm] served by server [computer program] se_1 with service se_3 (activity).\nNote that the term “server” is used quite broadly in English. For “samtciselse'u”, the x_1 and x_2 places are only used to refer to the involved computer programs. See also: {samtcise'u}.
samtcise'u	lujvo      \nse_1=sk_1 is a server [computer program] serving client(s) [computer program(s)] se_2 with service se_3 (activity).\nNote that the term “server” is used quite broadly in English. For “samtcise'u”, the x_1 and x_2 places are only used to refer to the involved computer programs. See also: {samtciselse'u}.
samterpli	lujvo      \np_3 is done/made using computer p_2 by p_1.
samterto	lujvo      \nt_1 is 2^40 of t_2 in dimension/aspect t_3 (default is units).
samvidni	lujvo      \nv_1 is a computer monitor.
samxa'a	lujvo      \nxa_1 is an e-mail to intended audience xa_2 from author/originator xa_3 with content xa_4.
samxa'e	lujvo      \nxa_1 is a pointing device for computer xa_2=s_1.\nPointing devices include: mouse, trackball, touchpad, touchscreen, graphics tablet, joystick, pointing stick. Cf. {pevysmacu}, {skami}, {xance}.
samxexso	lujvo      \nxe_1 is 2^60 of xe_2 in dimension/aspect xe_3 (default is units).
samymegdo	lujvo      \nm_1 is 1048576 (2^20) of m_2 in dimension/aspect m_3 (default is units).
samymo'i	lujvo      \nm_1=s_1 (computer) loads [data] m_2.\nm_1=s_1 writes data/files m_2 into the random-access memory or main memory (or similar). m_2 could refer to data, information, files, etc.
samymri	lujvo      \nm_1 (agent) sends e-mail m_2 to person / computer m_3 from person / computer m_4 by computer network m_5.\nMade from {skami} + {mrilu}.
samyuan	cmevla      \nname: &quot;Someone&quot;, aka &quot;the god of lazy people&quot;, used when the speaker is pushing responsibility to someone else unspecified\nSee {datpre}, {ei}, {bilga}, {nitcu}, {sarcu} // Native-Lojban variant: {la dzapre} / {la su'oda}
samyzamsmacu	lujvo      \nx_1 is a computer mouse (physical object)\nDefined to demonstrate use of -zam-, rafsi of {zai'e}; the existing synonyms {pevysmacu} and {sma'acu} are probably much more convenient for actual use however.
samyzetro	lujvo      \nz_1 is 2^70 of z_2 in dimension/aspect z_3 (default is units).
samyzilkei	lujvo      \nx_1=k_2 is a video game on platform x_2=s_1.\nAlso tv/pc/computer game. x2 may be a personal computer, handheld device, video game console or arcade machine. See also: playing video game (={samyzilkeikei}), playing on (gaming) computer (={samkei}).
samyzilkeikei	lujvo      \nx_1 plays with video game x_2.\nAlso: computer game. See also “{samyzilkei}” for video game and “{samkei}” for a gaming computer/console in x2.
samyzva	lujvo      \nz_1 is logged on to computer z_2=s_1.
sanbau	lujvo      \ns_1=b_1 is the Spanish language used by b_2 to express/communicate b_3 (si'o/du'u, not quote)\nCf. {spano}, {bangu}, {bansupu'a}.
sanbu	experimental gismu      \nx_1 strolls/leisurely walks
sance	gismu   \n-sna-      \nx_1 is sound produced/emitted by x_2.\nx_2 sounds (intransitive verb).  See also {savru}, {tirna}, {voksa}, {siclu}, {slaka}.
sandali	fu'ivla      \nx_1 is a sandal
sanduici	obsolete fu'ivla      \nx_1 is a sandwich with x_2 sandwiched between x_3\nRestricted to food. See {snuji}
sanga	gismu   \n-sag-   \n-sa'a-      \nx_1 sings/chants x_2 [song/hymn/melody/melodic sounds] to audience x_3.\nMelody (= {sagzgi}, {ralsagzgi}), harmony (= {saxsagzgi}), harmonize/sing harmony (= {saxsa'a}), song (= {selsa'a}).  See also {pemci}, {rimni}, {rilti}, {siclu}.
sangarapa	fu'ivla      \nx_1 raps x_2 (text).
sangu'e	lujvo      \ns_1=g_1 is Spain.\nCf. {spano}, {gugde}, {gugde'esu}. 
sanguisuga	obsolete fu'ivla      \nx_1 is a leech of species x_2
sanji	gismu   \n-saj-      \nx_1 is conscious/aware of x_2 (object/abstract); x_1 discerns/recognizes x_2 (object/abstract).\n[also: x_1 knows Of. x_2 (one sense); awareness implies some amount of mental processing above and beyond mere sensory detection, and may also be applied to mental relationships that are not detected by the senses]; See also {menli}, {morji}, {ganse}, {sipna}, {cikna}.
sanli	gismu   \n-sa'i-      \nx_1 stands [is vertically oriented] on surface x_2 supported by limbs/support/pedestal x_3.\nx_1 is standing; x_1 stands up; x_1 is erect/vertical/upright; x_1 bows/bends over (= {krosa'i}, {krosa'ibi'o}, {plosa'i}); frame of reference is (approximate) perpendicularity to the surface, and not to a gravity field.  See also {kamju}, {sraji}, {tuple}, {zbepi}, {sarji}.
sanmi	gismu   \n-sai-      \nx_1 (mass) is a meal composed of dishes including x_2.\nx_2 is a course/dish of meal x_1 (= {selsai} for reordered places).  See also {barja}, {stasu}, {gusta}, {sanso}.
sanserife	fu'ivla      \nx_1 is a letter not having serifs x_2\nSerif is a short line added to the top or bottom of letter. See also {enserife}
sanso	gismu      \nx_1 is a sauce/topping/gravy/frosting for use with x_2, containing ingredient(s) including x_3.\nx_3 is in x_1, an ingredient/part/component of sauce x_1.  See also {sanmi}, {mixre}, {stasu}.
sansrabita	fu'ivla      \ns_1  is a sugo all'arrabbiata/arrabbiata sauce [pasta sauce] for use with pasta s_2 [default: penne], containing ingredient(s) including s_3.
sansrbecameli	fu'ivla      \ns_1 is a bechamel sauce for use with s_2, containing ingredient(s) including s_3.
sansrblacirla	fu'ivla      \ns_1 is a blue cheese dressing for use with s_2, containing ingredient(s) including s_3.
sansrcimicuri	fu'ivla      \ns_1  is a chimichurri [sauce] for use with s_2, containing ingredient(s) including s_3.\nChimmichurri is a sauce used for grilled meat, originally from Argentina.
sansrfausentailendi	fu'ivla      \ns_1 is a Thousand Island dressing for use with s_2, containing ingredient(s) including s_3.
sansrketcu	fu'ivla      \ns_1 is a quantity of ketchup/catsup/red sauce for use with s_2, containing ingredient(s) including s_3.
sansrmustardo	fu'ivla      \nx_1 is mustard for use on x_2 made with x_3.\nsee also {koblrsinapi}
