a	cmavo   \nA      \nлогический союз: последующая мысль в sumti: 'или'
skiji	gismu   \n-sij-      \nx_1 — лыжа/конек/полоз для передвижения по поверхности (из материала) x_2, поддерживающая лыжника/конькобежца/сани/груз x_3\n{sakli} (скользить), {marce} (транспорт), {cutci} (обувь)
skina	gismu   \n-kin-      \nx_1 — фильм/кино об x_2 (сюжет/тема/события), режиссера x_3, для аудитории x_4\nx_2 м.б. также: жанр/стиль; мультфильм: {selxraci'a} [skina]); телефильм: {tivyskina}, независимо от длины, содержания и т.д. {tivni} (телевещание), {vidni} (экран [монитор]), {pixra} (картина), {finti} (сочинять)
skomberu	fu'ivla      \ns_1 - это макрель/скумбрия вида s_2.\nСм. {finpe}, {finprtuna}
skori	gismu   \n-sko-      \nx_1 — веревка/канат/шнур/кабель/сплетенные пряди из материала x_2\n{cilta} (нить), {jgena} (узел), {marna} (конопля), {bikla} (дергаться), {linsi} (цепь)
skoto	gismu   \n-kot-   \n-ko'o-      \nx_1 — кельтский/гаэльский/шотландский в аспекте x_2\nИрландский: {sicko'o}, шотландский: {sunko'o}, кельтский: {dzeko'o}, валлийский: {nanko'o}, бретонский: {fasko'o}; поскольку шотландцы лишь одна из ветвей кельтских племен, многие могут предпочесть [fu'ivla] для слова «кельтский», а также отдельное [fu'ivla] для «ирландский» {brito} (британский), {glico} (английский)
skuro	gismu   \n-ku'o-      \nx_1 — борозда/желоб/канавка/паз (форма) в объекте/поверхности x_2\nТакже: траншея, овраг, каньон {plixa} (пахать)
slabu	gismu   \n-sau-      \nx_1 — старый/знакомый/известный/не новый для наблюдателя x_2 по свойству x_3 ({ka}) по стандарту x_4\nВключает оба значения слова «старый»; «старый» в смысле возраста передается с помощью x_2: мир, жизнь, существование: {loi} {nu} {zasti}) — эти значения могут подразумеваться по умолчанию; однако, [slabu] является антонимом не к «молодой»: {nalci'o}, {tolci'o}, а к «новый»: {tolni'o}; Также: древний: {tcesau}, возраст: {nilsau}; x_2 (кому) знаком(о) x_1: {selsau} с переставленными местами); исторический: {cirsau}, {cirselcedra}; Также: {vaipru} {clani} (длинный), {citno} (молодой) — не антоним, {cnino} (новый), {se} {djuno} (знать)
slaka	gismu      \nx_1 — слог в языке x_2\n{sance} (звук), {valsi} (слово), {bangu} (язык [лингвистический])
slaka bu	bu-letteral   \nBY*      \nбуквенный символ: ложбанский знак ','
slami	gismu      \nx_1 — кислота состава x_2; x_1 содержит кислоту состава x_2\nПрилагательное: x_1 — кислотный; x_2: в состав входит x_2 (не обязательно полное описание состава) {slari} (кислый), {nimre} (цитрус)
slanu	gismu      \nx_1 — цилиндр (форма) из материала x_2\n{kamju} (колонна [столб]), {gunro} (катиться)
slari	gismu   \n-sar-      \nx_1 кислый на вкус для x_2\n{slami} (кислота), {titla} (сладкий), {kurki} (горький), {nimre} (цитрус)
slasi	gismu   \n-las-      \nx_1 — пластик/пластмасса/полимер вида x_2; x_1 содержит пластмассу\n{rutni} (искусственный), {boxfo} (пластина), {bukpu} (ткань [текстиль])
sligu	gismu   \n-lig-      \nx_1 — твердое тело из вещества/состава x_2, в условиях x_3; x_1 — твердый (а не жидкий или газообразный)\nx_2: в состав входит x_2 (не обязательно полное описание состава); условия x_3 включают температуру и давление {runta} (растворяться), {litki} (жидкость), {gapci} (газ), {jdari} (крепкий), {dunja} (замерзать [затвердевать]), {pulce} (пыль), {jduli} (желе)
slilu	gismu   \n-sli-      \nx_1 колеблется/осциллирует с частотой x_2, проходя через последовательность состояний x_3 (полное описание)\nТакже: качается; Также: с использованием как [slilu], так и {desku}: туда-сюда, туда и обратно {dikni} (регулярный [циклический]), {rilti} (ритм), {morna} (узор), {desku} (трястись), {janbe} (гонг), {boxna} (волна)
slinkuui	fu'ivla      \nx_1 - это игрушка-слинки\nСм. {kelci}. Это слово дало название slinku'i-тесту
sliri	gismu      \nx_1 — сера (S); x_1 содержит серу\nМетафора: зловонный, вулканический {xukmi} (доза [химического вещества]), {panci} (запах), {pelxu} (желтый)
slovo	gismu   \n-lov-   \n-lo'o-      \nx_1 — славянский в аспекте x_2\n{softo} (советский), {rusko} (русский), {vukro} (украинский)
sluji	gismu   \n-slu-      \nx_1 — мышца/мускул (часть тела), управляющая x_2 (чем), в составе тела x_3\nМетафора: источник физической силы {rectu} (мясо), {xadni} (тело), {zajba} (атлет)
sluni	gismu      \nx_1 — лук вида/сорта x_2\n{stagi} (овощ)
smacrkobaiu	fu'ivla      \nx_1 - морская свинка вида x_2.\nСм. {ratcu}, {smacu}
smacu	gismu      \nx_1 — мышь вида/разновидности x_2\n{ratcu} (крыса)
smadi	gismu      \nx_1 имеет/строит догадки/гипотезы/предположения, что верно/истинно x_2 ({du'u}) в отношении предмета x_3\nТакже: x_1 догадывается, подозревает, {предполагает}, что x_2; x_1 (кому) кажется, что x_2; x_2 — догадка, гипотеза, {предположение}; слова, описывающие эпистемологию, обычно имеют место типа {du'u} {djuno} (знать), {facki} (открывать [узнавать, находить]), {jijnu} (постигать [интуитивно]), {sruma} (допускать [предполагать])
smaji	gismu   \n-sma-      \nx_1 — молчит/безмолвствует/не воспринимается в точке наблюдения x_2 по критерию x_3\n{kerlo} (ухо), {panpi} (в мире), {savru} (шум), {tirna} (слышать)
smaka	experimental gismu      \nx_1 чувствует вкус x_2 (какой)\nСм. {tasta}, {vrusi}, {ganse}, {palpi}, {viska}
smani	gismu      \nx_1 — обезьяна/примат вида/разновидности x_2\n{mabru} (зверь), {danlu} (животное)
smela	experimental gismu      \nx_1 - это слива/персик/вишня/абрикос/миндаль/тёрн [плод] (род Prunus) вида/разновидности x_2\n{zirsmela} для сливы, {xunsmela} для вишни, {najysmela} для персика, {pelsmela} для абрикоса, {ri'orsmela} для миндаля, {blasmela} для тёрна. Ср. {rutrprunu}, {ricrprunu}, {flaume}, {persika}, {rutrceraso}, {birkoku}, {frambesi}, {fragari}, {plise}, {perli}, {rozgu}
smetana	fu'ivla      \nx_1 - это сметана, состоящая из x_2\nСм. также {kruji}, {ladru}, {matne}.
smidali	fu'ivla      \nx_1 - это манная купа из зерна x_2\nСм. {bavmi}
smoka	gismu   \n-smo-      \nx_1 — чулок/носок (гибкое одеяние для нижней части ног) из материала x_2\n{cutci} (обувь), {taxfu} (одежда)
smuci	gismu   \n-muc-      \nx_1 — ложка/ковш/черпак, предназначенная для x_2, из материала x_3\n{dakfu} (нож), {forca} (вилка), {tutci} (инструмент)
smuni	gismu   \n-mun-   \n-smu-      \nx_1 — смысл/значение/интерпретация x_2 (чего), понимаемый/распознаваемый x_3 (кем)\n«Значение» как «обозначаемое», в референциальном/ссылочном смысле: {selsni}, {snismu} {jimpe} (понимать), {sinxa} (символ), {valsi} (слово), {tanru} (), {gismu} (), {lujvo} (), {cmavo} (), {jufra} (фраза)
snada	gismu   \n-sad-      \nx_1 успешно/удачно завершает/совершает/добивается/достигает x_2 в результате усилия/попытки x_3\nПрилагательное: x_1 — успешный; x_2: событие/состояние/достижение {fliba} (терпеть неудачу), {troci} (пытаться), {jgira} (гордиться)
snanu	gismu   \n-nan-      \nx_1 находится к югу от x_2 согласно системе отсчета x_3\n{berti} (север), {stuna} (восток), {stici} (запад), {farna} (направление)
snejanas	cmevla      \nСнежана (русское женское имя)
snidu	gismu   \n-nid-      \nx_1 длится x_2 секунд (по умолчанию 1 секунду) по стандарту x_3\n{cacra} (час), {junla} (часы [механизм]), {mentu} (минута), {tcika} (время [события]), {centi} (санти), {decti} (десятый [доля 1/10]), {dekto} (дека), {femti} (фемто), {gigdo} (гига), {gocti} (йокто), {gotro} (йотта), {kilto} (кило), {megdo} (мега), {mikri} (микро), {milti} (милли), {nanvi} (нано), {petso} (пета), {picti} (пико), {terto} (тера), {xatsi} (атто), {xecto} (гекто), {xexso} (экса), {zepti} (зепто), {zetro} (зетта)
snime	gismu   \n-si'e-      \nx_1 — снег\n{bratu} (град [осадок]), {carvi} (дождь), {bisli} (лед)
snipa	gismu   \n-nip-      \nx_1 липнет/прилипает/пристает к x_2; x_1 — липкий, клейкий\nЛипкой поверхностью является x_1 — x_2 не обязан быть липким {tarla} (смола), {viknu} (вязкий)
snuji	gismu   \n-nuj-      \nx_1 - это сэндич с x_2 (не обязательно пищей), зажатым между слоями x_3\nСм. {midju} - 'середина', {nenri} - 'внутри', {sepli} - 'отделенный'), {senta} - 'слой', {jbini} - 'между', {bitmu} - 'стена', {sruri} - 'окружать'
snura	gismu   \n-nur-   \n-nu'a-      \nx_1 защищен/находится в безопасности от угрозы x_2 (событие)\n{ckape} (опасный), {kajde} (предостережение), {marbi} (убежище), {terpa} (бояться), {xalni} (паниковать), {bandu} (защищать)
snuti	gismu   \n-nut-      \nx_1 — непреднамеренно/случайно со стороны x_2; x_1 — случайность\n{zukte} (действовать), {cunso} (случайный)
so	cmavo   \n-soz-   \nPA1      \nцифра/число: 9 (цифра) [девять]
so'a	cmavo   \n-soj-   \nPA4      \nцифра/число: почти каждый (цифра/число)
sobde	gismu   \n-sob-   \n-so'e-      \nx_1 — соя (зерно/бобы) вида/сорта x_2\n{dembi} (боб), {gurni} (зерно)
sodna	gismu      \nx_1 — щелочной металл типа x_2; x_1 содержит щелочной металл типа x_2 (по умолчанию натрий)\nТакже: калий, литий, цезий {jilka} (щелочь), {jinme} (металл)
sodva	gismu   \n-sod-      \nx_1 — газированный напиток вида/с привкусом x_2\nТакже: «прохладительный напиток» или «безалкогольный напиток», хотя к последним обычно причисляют еще чай и кофе {jilka} (щелочь), {jinme} (металл)
so'e	cmavo   \n-sop-   \nPA4      \nцифра/число: большинство/б`ольшая часть
so'eroi	cmavo-compound   \nROI*      \nмодификатор интервала: обычно; объективно количественный интервал; по умолчанию как временной интервал
softo	gismu   \n-sof-      \nx_1 относится к Российской Империи / СССР / экс-СССР / СНГ / советской культуре/национальности в аспекте x_2\n{rusko} (русский), {vukro} (украинский), {slovo} (славянский)
sofybakni	lujvo      \nx_1=b_1=s_1 - это советская корова/бык/теленок вида/породы x_2=b_2 и отражающая СССР/экс-СССР [Советскую] культуру/национальность в аспекте x_3=s_2.\nПочему бы и не дать определение для этого слова :). Встречается в шуточной фразе .o'i mu sofybakni cu zvati le purdi, в которой собраны все буквы ложбанского алфавита.
soi	cmavo   \nSOI      \nмеждометие-рассуждение: маркёр возвратных/взаимных/обоюдных sumti; обозначает обоюдные отношения между sumti ( переводится как &quot;друг друга&quot; и пр.)
so'i	cmavo   \n-sor-   \n-so'i-   \nPA4      \nцифра/число: много/немало
so'imei	cmavo-compound   \nMOI*      \nколичественная selbri: преобразует &quot;много&quot; в количественное; связка, пучок, букет, стадо, пачка; x_1 это множество с многими членами x_2 из полного множества x_3
so'iroi	cmavo-compound   \nROI*      \nмодификатор интервала: много раз; объективно количественный интервал; по умолчанию как временной интервал
soki'o	cmavo-compound   \nPA*      \nчисло/количество: 9,000, выражается с помощью запятой
solji	gismu   \n-slo-      \nx_1 — золото (Au); x_1 содержит золото\nМетафора: драгоценный, тяжелый, химически инертный {ricfu} (богатый), {rijno} (серебро), {narju} (оранжевый), {pelxu} (желтый)
solnuncanci	lujvo      \nx_1 - это закат солнца в месте x_2 с точки зрения наблюдателя x_3
solnuntolcanci	lujvo      \nx_1 - это восход солнца в месте x_2 с точки зрения наблюдателя x_3\nСм. также {solnuncanci}, {solri}, {cerni}, {vanci}
solri	gismu   \n-sol-      \nx_1 — солнце планеты x_2 (по умолчанию, Земли), населенной разумными существами вида x_3\n{gusni} (свет), {lunra} (луна), {mluni} (спутник [космический]), {plini} (планета), {santa} (зонт), {terdi} (земля [планета Земля]), {tarci} (звезда [небесное тело])
sombo	gismu   \n-som-   \n-so'o-      \nx_1 сажает x_2 (растения) в x_3 (где/куда)\n{crepu} (собирать [урожай]), {tsiju} (семя [зерно])
somoi	cmavo-compound   \nMOI*      \nколичественная selbri: преобразует 9 в порядковую selbri; x_1 является девятым среди x_2, упорядочиваемых по правилу x_3
sonci	gismu   \n-son-   \n-soi-      \nx_1 — солдат/воин/боец армии/войска x_2\n{bilni} (военный), {damba} (драться), {jenmi} (армия), {xarci} (оружие), {pulji} (полицейский)
sono	cmavo-compound   \nPA*      \nчисло/количество: 90 [девяносто]
sonono	cmavo-compound   \nPA*      \nчисло/количество: 900 [девятьсот]
so'o	cmavo   \n-sos-   \nPA4      \nцифра/число: несколько
sorcu	gismu   \n-soc-   \n-sro-      \nx_1 — запас/резерв материалов/энергии x_2, накопленных/хранимых в x_3\nx_3 не обязательно контейнер, напр. куча; аргумент x_3 идентифицирует данный запас x_2, позволяя отличить его от других запасов {panka} (парк); {vreji} (запись) для хранения информации; {sabji} (поставлять [снабжать]) для запаса, который не обязательно привязан к определенному месту, {banxa} (банк), {panka} (парк)
sorgu	gismu   \n-sog-      \nx_1 — сорго вида/сорта x_2\n{gurni} (зерно)
sorta	experimental gismu      \nx_1 вроде как/как бы/как будто [делает] x_2 (nu/ka) в условиях x_3\nШуточное слово. В основном используется в tanru {kinda} {sorta}
sosoce'i	cmavo-compound   \nPA*      \nчисло/количество: 99% (число)
so'u	cmavo   \n-sot-   \nPA4      \nцифра/число: мало/немного
so'uroi	cmavo-compound   \nROI*      \nмодификатор интервала: мало раз; объективно количественный интервал; по умолчанию как временной интервал
sovda	gismu   \n-sov-   \n-so'a-      \nx_1 — яйцо/яйцеклетка/сперматозоид/пыльца/гамета организма (отец/мать) x_2\nМетафорическое использование не рекомендуется ввиду неопределенности пола и вида: овоид, вытянутый сфероид: {pevyso'aseltai}, но лучше: {claboi}; женская яйцеклетка: {fetso'a}, птичье яйцо: {cpifetso'a}, {cpiso'a}, куриное яйцо: {jipcyfetso'a}, {jipcyso'a} — хотя просто [sovda] достаточно для большинства случаев; оплодотворенное яйцо: {tsiju} или {tarbi} {ganti} (яичко [анатомия]), {gutra} (матка [анатомия]), {mamta} (мать), {patfu} (отец), {rorci} (порождать), {tsiju} (семя [зерно]), {lanbi} (белок), {tarbi} (эмбрион); ткж. {djine} (кольцо), {konju} (конус) для описания формы, {tarbi} (эмбрион)
sozepimu	cmavo-compound   \nPA*      \nчисло/количество:  97.5
sozymasti	lujvo      \nx_1 это сентябрь/9-ый месяц года x_2 по календарю x_3\nСм. {pavmasti}, {nanca}
spageti	fu'ivla      \nx_1 - это спагетти, сделанные из/содержащие x_2.\nСм. также {nanba}
spaji	gismu   \n-paj-      \nx_1 — неожиданность/сюрприз для x_2; x_1 захватывает x_2 (кого) врасплох\nТакже: ожидание/предвосхищение: {nalspaji}, смятение/тревога: {tepspaji} {manci} (изумленный), {jenca} (потрясать [ошеломлять]), {bredi} (готовый [к чему-либо]), {suksa} (внезапный)
spali	gismu      \nx_1 полирует/шлифует предмет/поверхность x_2, нанося полирующее вещество x_3 инструментом x_4\n{mosra} (трение), {sraku} (царапать), {xutla} (гладкий)
spano	gismu   \n-san-      \nx_1 — испанский/испаноязычный в аспекте x_2\nМетафорически может ограничиваться Испанией, контрастируя с {xispo} (ср. аналогичное противопоставление {glico} и {merko}/{sralo}/{brito}/{kadno}); Испания: {sangu'e}; испаноязычные диалекты Испании, особенно кастильский: {sansanbau} {xispo} (латиноамериканский), {ketco} (южноамериканский), {mexno} (мексиканский), {gento} (аргентинский)
spati	gismu   \n-spa-      \nx_1 — растение/растительность/зелень вида/разновидности/сорта x_2\nПрилагательное: x_1 — растительный {genja} (корень [растения]), {grute} (плод [фрукт]), {gurni} (зерно), {latna} (лотос), {rozgu} (роза), {stagi} (овощ), {tricu} (дерево), {tsiju} (семя [зерно]), {tujli} (тюльпан), {xruba} (гречиха), {xrula} (цветок), {pezli} (лист [растения]), {srasu} (трава)
speni	gismu   \n-spe-      \nx_1 женат на/замужем за x_2; x_1 — супруг x_2 по закону/обычаю/традиции/соглашению x_3\n{prami} (любить [кого-либо]), {gletu} (совокупляться)
sperlanu	fu'ivla      \nx_1 - это корюшка вида x_2.\nСм. {finpe}, {salmone}, {merlanu}
spero	experimental gismu      \nx_1 принадлежит языку/культуре эсперанто в аспекте x_2
spisa	gismu   \n-spi-      \nx_1 (объект/вещество) есть кусок/порция/{частица} x_2 (чего: вещество)\n{pagbu} (часть)
spita	gismu      \nx_1 — больница/лечебница/клиника/госпиталь для лечения пациентов x_2 от болезни/травм x_3 (ухода за пациентами x_2, находящимися в состоянии x_3)\nХоспис (место, где x_2 в [spita] есть {le}{nu} {mrobi'o}): {mrospita} {bilma} (больной), {mikce} (лечить)
sploici	fu'ivla      \nx_1 производит всплеск/плещется\nСм. {djacu}, {jausna}, {jaurda'i}
spofu	gismu   \n-pof-   \n-po'u-      \nx_1 сломан/испорчен/негоден для функции x_2\nСломать/испортить: {pofygau}, {pofyzu'e}; сломаться/испортиться (случайно): {pofyja'e}, {nutpo'uja'e} {daspo} (разрушать), {katna} (разрезать), {porpi} (разваливаться), {se} {xrani} (вредить), {cikre} (чинить)
spoja	gismu   \n-poj-   \n-po'a-      \nx_1 взрывается/лопается (внезапно, энергично распадается/воспламеняется), образуя/выделяя/выбрасывая куски/фрагменты/энергию x_2\n{cecla} (стрелять), {jakne} (ракета), {jbama} (бомба)
spuda	gismu   \n-spu-      \nx_1 отвечает/реагирует на событие/ситуацию/стимул/{лицо/объект} x_2 ответом/реакцией x_3; x_1 отвечает x_2 (кому); x_3 есть ответ x_1 (чей) на x_2\nесли x_3 есть лицо/объект, то обычно используется {tu'a} в знак того, что реакцию/ответ вызывает какое-то действие этого лица/объекта; маркер {tu'a} м.б. опущен, если стимулом является само лицо/объект, а не его действия {cusku} (говорить [кому-либо]), {preti} (вопрос), {nabmi} (проблема), {danfu} (ответ), {frati} (реагировать), {cpedu} (просить)
spusku	lujvo      \nx_1 даёт ответ x_2 (sedu'u/текст/lu'e-концепция), отвечая x_3 (кому)\nСм. {retsku}, {cusku}, {spuda}
sputu	gismu   \n-put-   \n-pu'u-      \nx_1 плюет/прыскает/отхаркивает x_2 (преимущественно, жидкость) из x_3 на/в x_4\nСлюна, плевок, мокрота: {molselpu'u} {jetce} (струя), {kafke} (кашлять), {vamtu} (блевать)
sraji	gismu   \n-raj-      \nx_1 — вертикальный/отвесный/прямостоящий/{прямой} в системе отсчета/гравитационном поле x_2\nТакже: вертикально, стоймя, отвесно {sanli} (стоять), {pinta} (горизонтальный)
sraku	gismu   \n-rak-      \nx_1 (инструмент/орудие) царапает/надрезает/режет/врезается в x_2\n{guska} (соскабливать), {katna} (разрезать), {mosra} (трение), {plixa} (пахать), {kakpa} (выкапывать) (в отличие от {kakpa} (выкапывать), {sraku} (царапать) не предполагает выемку материала), {spali} (полировать)
sralo	gismu      \nx_1 — австралийский в аспекте x_2\n{glico} (английский)
srana	gismu   \n-ra'a-      \nx_1 причастен к/имеет отношение к/связан с x_2; x_2 является темой для x_1\nТакже: касается, относится к; x_1 — это дело/вопрос x_2 (чего); отношение x_1 и x_2 м.б. симметрично, хотя x_1 обычно более специфично, чем x_2 {ra'a}, {ckini} (иметь отношение), {ponse} (владеть), {steci} (специфика)
srasu	gismu   \n-sas-      \nx_1 — трава вида x_2\nЛуг/лужайка/газон: {sasfoi} {spati} (растение)
srera	gismu   \n-sre-      \nx_1 ошибается, совершая действие x_2 (событие), ошибочное в условиях x_3 относительно критерия/стандарта x_4\nx_2 — ошибка {drani} (правильный) — не требует наличия деятеля, {cfila} (дефект), {fliba} (терпеть неудачу)
srito	gismu      \nx_1 — санскрит, санскритский/ведический в аспекте x_2\n{xindo} (хинди), {xurdo} (урду)
sruma	gismu   \n-ru'a-      \nx_1 допускает/предполагает/принимает, что справедливо/верно x_2 ({du'u}) в отношении предмета x_3\nТакже: постулирует, подразумевает; x_2 — допущение, постулат, аксиома, гипотеза, предположение; слова, описывающие эпистемологию, обычно имеют место типа {du'u} {smadi} (догадываться), {birti} (убежденный [в истинности])
sruri	gismu   \n-rur-   \n-sru-      \nx_1 окружает/охватывает x_2 в направлени(и/ях)/измерени(и/ях)/плоскости x_3\n({jinsru} =) x_1 — кольцо/пояс вокруг x_2 (почти полный охват в каком-то измерени(и/ях)) {karli} (пояс), {senta} (слой), {snuji} (прослойка), {vanbi} (окружающий), {se} {nenri} (внутри), {se} {jbini} (между), {bartu} (вне), {djine} (кольцо)
stace	gismu   \n-sac-      \nx_1 — честный/откровенный/искренний с/по отношению к x_2 насчет/что касается дела/факта x_3\nТакже: прямой, чистосердечный, без экивоков, без обиняков {tcica} (обманчивый), {jetnu} (истина), {jitfa} (ложь), {mipri} (скрывать)
stagi	gismu      \nx_1 — съедобная часть растения x_2; x_1 — овощ\nопределение покрывает также фрукты и орехи; может относиться как к съедобным растениям вообще, так и к неплодовым овощам. См. {nalrutstagi}, {grute} - 'плод (фрукт)', {kobli} - 'капуста', {narge} - 'орех (плод)', {sluni} - 'лук (растение)', {spati} - 'растение', {sunga} - 'чеснок', {tamca} - 'томат'
stakrportcelanu	fu'ivla      \nx_1 - это фарфор состава x_2 формы x_3
staku	gismu   \n-tak-      \nx_1 — керамика, изготовленная x_2 (кем/где), состава x_3, в форме x_4\nОбожженная глина или иной неметаллический твердый материал; x_3: не обязательно полное описание состава {kliti} (глина)
stali	gismu   \n-sta-      \nx_1 остается/пребывает у/в/с x_2\n{vitno} (длительный), {zasni} (временный), {ralte} (удерживать), {stodi} (постоянный), {xabju} (проживать), {stuzi} (место [постоянное]), {renvi} (выдерживать)
stani	gismu      \nx_1 — стебель/ствол растения/вида x_2\nМетафора: опора {tuple} (нога), {mudri} (древесина)
stanisLAF	cmevla      \nСтанислав (русское мужское имя)
stapa	gismu   \n-tap-      \nx_1 ступает по поверхности x_2, используя конечности x_3; x_1 наступает на/топчет x_2\n{bajra} (бежать), {plipe} (прыгать), {cadzu} (идти), {serti} (лестница)
stasu	gismu      \nx_1 — суп/похлебка из/с x_2\nx_2 входит в x_1, есть компонент/ингредиент супа x_1 {sanmi} (трапеза), {mixre} (смесь), {salta} (салат [блюдо]), {sanso} (соус)
stati	gismu      \nx_1 имеет талант/способности/склонность к x_2 (действие/состояние)\n{jinzi} (присущий), {certu} (эксперт), {rarna} (естественный), {larcu} (искусство), {kakne} (мочь)
steba	gismu   \n-seb-      \nx_1 раздосадован/разочарован/приведен в отчаяние x_2 (чем: абстракция)\nСрыв планов, крушение надежд {cinmo} (эмоциональный)
steci	gismu   \n-tec-   \n-te'i-      \nx_1 ({ka}) — специальное/специфическое/частное/особое/определяющее свойство x_2 (чего) среди членов множества x_3\nx_2 — члены подмножества x_3; Также: объект, ассоциация с которым специфична для выделяемого подмножества: {tecra'a}, ср. Также: {po'e}; Также: особенно, связанный с {srana} (иметь отношение [к чему-либо]), {se} {ponse} (владеть), {ckini} (иметь отношение), {tcila} (черта [особенность]), {tutra} (территория)
stedu	gismu   \n-sed-      \nx_1 — голова (часть тела) x_2\nМетафора: верхняя часть; череп: {sedbo'u} {drudi} (крыша), {mebri} (лоб), {xedja} (челюсть), {besna} (мозг), {flira} (лицо), {mapku} (шапка)
stela	gismu   \n-tel-      \nx_1 — замок/защелка/запор для/запирающий x_2 с механизмом x_3\nТакже: пломба/печать, запечатывает {ckiku} (ключ)
stero	gismu   \n-te'o-      \nx_1 (телесный угол) составляет x_2 (по умолчанию 1) стерадиан (метрическая единица) по стандарту x_3\n{centi} (санти), {decti} (десятый [доля 1/10]), {dekto} (дека), {femti} (фемто), {gigdo} (гига), {gocti} (йокто), {gotro} (йотта), {kilto} (кило), {megdo} (мега), {mikri} (микро), {milti} (милли), {nanvi} (нано), {petso} (пета), {picti} (пико), {terto} (тера), {xatsi} (атто), {xecto} (гекто), {xexso} (экса), {zepti} (зепто), {zetro} (зетта)
stici	gismu   \n-sic-      \nx_1 находится к западу от x_2 согласно системе отсчета x_3\n{stuna} (восток), {berti} (север), {snanu} (юг), {farna} (направление)
stidi	gismu   \n-sid-   \n-ti'i-      \nx_1 советует/подсказывает/{предлагает} x_2 (что: идея/действие) x_3 (кому); x_1 (событие/деятель) вдохновляет/наводит на мысль x_3 на x_2\nТакже: внушает; если x_1 - событие, может обозначать &quot;вдохновляет&quot; (если у x_3 при этом появляется желание, необходимо добавить {djica}; событие, которое вдохновляет/наводит на мысль: {faurti'i}, {sidyfau} {ti'i}, {tcica} (обманчивый), {xlura} (влиять)
stika	gismu   \n-tik-      \nx_1 регулирует/настраивает/изменяет x_2 ({ka}/{ni}) в пределах x_3\nНерезультативное, деятельное изменение {cenba} (изменчивый [в свойстве]) (не нуждается в деятеле), {galfi} (изменять) (есть деятель, есть результат), {binxo} (становиться) (результативное изменение, в отсутствие деятеля), {zasni} (временный), {stodi} (постоянный)
stizu	gismu   \n-tiz-      \nx_1 — стул/сиденье/скамья (предмет мебели, предназначенный для сидения)\n{nilce} (мебель), {zutse} (сидеть), {jubme} (стол), {ckana} (кровать)
stodi	gismu   \n-sto-      \nx_1 постоянен/неизменен по свойству x_2 ({ka}) при воздействии/в условиях x_3\nТакже: устойчивый, стойкий, стабильный, неуклонный {cenba} (изменчивый [в свойстве]), {stika} (регулировать), {stali} (оставаться), {vitno} (длительный), {manfo} (однородный), {zasni} (временный), {tinsa} (жесткий), {jdari} (крепкий)
straixe	fu'ivla      \nx_1 - австрийский в аспекте x_2
stuna	gismu   \n-sun-      \nx_1 находится к востоку от x_2 согласно системе отсчета x_3\n{stici} (запад), {berti} (север), {snanu} (юг), {farna} (направление)
stura	gismu   \n-tur-   \n-su'a-      \nx_1 — структура/устройство/организация x_2 (чего: множество/система)\nЕсли x_2 — множество, то полностью описанное {ganzu} (организовывать [упорядочивать]), {morna} (узор), {ciste} (система), {lujvo} (), {greku} (каркас), {gerna} (грамматика)
stuzi	gismu   \n-tuz-   \n-stu-      \nx_1 - неизменное местонахождение/место x_2\nУпотребляется для описания местонахождения стационарных объектов. См. также список cmavo {tu'i}, {jmive}, {diklo}, {zvati}, {tcini}, {xabju}, {jibni}, {judri}, {lamji}, {mokca}, {stali}
su	cmavo   \nSU      \nстирает весь текст/беседу до её начала; оставить предмет разговора или начать сначала
su'a	cmavo   \nUI2      \nмеждометие-свидетельство: я обобщаю - я вдаюсь в подробности; междометие-рассуждение: абстрактно - конкретно\nСм. также {sucta}, {sucni'i}.
su'anai	cmavo-compound   \nUI*2      \nмеждометие-свидетельство: я обобщаю - я вдаюсь в подробности; междометие-рассуждение: абстрактно - конкретно\nСм. также {sucta}, {sucni'i}.
sucta	gismu   \n-suc-      \nx_1 (идея/{si'o}) — абстракция/идеализация/обобщение x_2 (чего: что-то конкретное), полученная по правилам x_3\n{fatci} (факт), {xanri} (воображаемый)
sudga	gismu   \n-sud-      \nx_1 — сухой, лишенный жидкости x_2\n{cilmo} (мокрый), {litki} (жидкость), {runta} (растворяться)
su'e	cmavo   \n-sup-   \n-su'e-   \nPA4      \nцифра/число: не более, чем/не больше, чем/максимум (далее следует число)
sufsi	experimental gismu      \nx_1 достаточен в аспекте x_2 (ka/ni) для достижения цели x_3 (nu)\nДостаточно. См. {dukse}
sufti	gismu   \n-sfu-      \nx_1 — копыто (часть тела) x_2\n{xirma} (лошадь)
su'i	cmavo   \nVUhU1      \nn-арный математический оператор: плюс; оператор добавления; [(((a + b) + c) + ...)]
suksa	gismu   \n-suk-      \nx_1 (событие/состояние) внезапно/резко/вдруг изменяется на этапе/в точке x_2, в отношении процесса/свойства/функции x_3\nТакже: внезапный, скачкообразно {spaji} (неожиданность), {vitci} (прерывистый), {vlile} (яростный)
sumji	gismu   \n-suj-      \nx_1 — математическая сумма/результат сложения x_2 и x_3\n{jmina} (добавлять), {jalge} (результат), {mulno} (законченный), {pilji} (произведение [арифметическое])
