agmasto	fu'ivla      \nx_1 estas masto de ŝipo x_2\nRigardu ankaŭ {bloti}
mamta	gismu   \n-mam-      \nx_1 estas patrino de x_2; x_1 patrinas/agas patrine al x_2; [ne nepre biologiaj]\nVidu ankaŭ {patfu}, {sovda}, {rirni}, {rorci}, {tarbi}, {famti}, {bersa}, {jbena}.
manci	gismu   \n-mac-      \nx_1 miras pri x_2\nVidu ankaŭ {cinmo}, {makfa}, {kucli}, {spaji}, {cinri}, {banli}, {sisku}.
manfo	gismu      \nx_1 (objekto/okazo) estas unuforma/homogena en eco x_2 (ka)\nVidu ankaŭ {prane}, {curve}, {ranji}, {vitno}, {stodi}, {dikni}, {sampu}, {traji}.
manku	gismu   \n-man-      \nx_1 estas malhela/malmulte lumigita\n(kp. blabi, gusni, ctino; uzu je kandi aŭ xekri kun koloroj, ctino)
manri	gismu   \n-mar-      \nx_1 estas referenco/referenckadro/normo por observi/mezuri/determini x_2-on, per/laŭ reguloj x_3\n(x_1 povas esti objekto aŭ ideo (si'o)); Vidu ankaŭ cmavo {ma'i}, {ckilu}, {merli}, {pajni}, {cimde}, {jdice}, {marde}.
mansa	gismu      \nx_1 kontentigas/satigas taksanton x_2 en eco (ka)/stato x_3; x_2 taksas x_1-on kontentiga en eco x_3\nVidu ankaŭ {pajni}.
manti	gismu      \nx_1 estas formiko de speco/raso x_2\nVidu ankaŭ {cinki}, {jalra}.
mapku	gismu   \n-map-      \nx_1 estas ĉapo/ĉapelo/krono/kasko/kapvesto el materialo x_2\nVidu ankaŭ {taxfu}, {stedu}, {drudi}.
mapni	gismu      \nx_1 estas kvanto da/enhavas/konsistas el kotono [tipo de ŝtofo/materialo]\nVidu ankaŭ {bukpu}.
mapti	gismu   \n-mat-      \nx_1 taŭgas/konformas/akordas/respondas al x_2 en eco/aspekto x_3\nVidu ankaŭ {satci}, {tugni}, {sarxe}, {drani}, {tarmi}, {ckini}, {mintu}.
marbi	gismu   \n-mra-      \nx_1 estas ŝirmejo/haveno/rifuĝejo/ripozejo protektanta x_2-on de danĝero/minaco x_3\nVidu ankaŭ {bandu}, {ckape}, {snura}, {drudi}, {sepli}, {bitmu}, {gacri}.
marce	gismu   \n-ma'e-      \nx_1 estas veturilo/vehiklo portanta x_2-on sur surfaco/medio x_3, pelita de x_4\nVidu ankaŭ {klama}, {matra}, {bevri}, {bloti}, {carce}, {karce}, {sabnu}, {skiji}.
marde	gismu   \n-mad-      \nx_1 estas la etiko/moralo/moralaj normoj/etikaj normoj de x_2 (ind./mass) pri situacio x_3\nx_1 kutime estos abstraktaĵo, regulo aŭ reguloj de konduto; ankaŭ principoj; ankaŭ konscienco (= {sezmarde}).  Vidu ankaŭ {palci}, {vrude}, {lijda}, {manri}, {javni}, {tarti}, {zekri}.
margu	gismu   \n-mag-      \nx_1 estas kvanto da/enhavas/konsistas el hidrargo/merkuro (Hg); [metafore: fluida metalo]\nVidu ankaŭ {jinme}.
marji	gismu   \n-maj-   \n-mai-      \nx_1 estas materio/ŝtofo/materialo de tipo/kompozicio enhavanta x_2-on en formo x_3\nAnkaŭ: (adjektivo:) x_1 estas fizika (unu senco)/materiala.  Vidu ankaŭ {morna}, {mucti}, {nejni}, {tarmi}, {dacti}.
marna	gismu      \nx_1 estas kvanto da kanabo/juto de speco/raso x_2\nVidu ankaŭ {skori}, {tanko}, {sigja}, {xukmi}.
marsipane	fu'ivla      \nx_1 estas marcipano/enhavas marcipanon de speco/marko x_2\nVidu ankaŭ {titspi}, {smela}.
marxa	gismu   \n-max-      \nx_1 [forto] frakasas/pistas/kunpremas/muelas x_2-on en pulpon/pulvoron/pecojn/erojn/misformaĵon x_3\n(kp. daspo, peŝu, zalvi, bapli)
masno	gismu   \n-sno-      \nx_1 estas malrapida/malvigla en ago/stato x_2 (okazo/stato)\nVidu ankaŭ {sutra}.
masti	gismu   \n-ma'i-      \nx_1 daŭras x_2 monatojn (defaŭlte 1 monato) laŭ normo x_3\nĉi tiu monato (= {cabma'i}); venonta monato (= {bavla'ima'i}); pasinta monato (= {prula'ima'i}).  Vidu ankaŭ {detri}, {djedi}, {jeftu}, {nanca}.
matci	gismu      \nx_1 estas matraco/litkuseno/remburaĵo/vataĵo [plata, mola, densa formo] el materialo x_2\nAnkaŭ: matraco = (kicymatci).  Vidu ankaŭ {kicne}, {tapla}, {karda}, {ckana}.
matli	gismu      \nx_1 estas kvanto da/enhavas/konsistas el lino [tipo de ŝtofo/materialo]\nVidu ankaŭ {bukpu}.
matne	gismu      \nx_1 estas kvanto da/enhavas/konsistas el butero/margarino el fonto x_2\nManĝebla graso, solida sed ŝmirebla je ordinaraj temperaturoj; elmilka butero (= {ladmatne}).  Vidu ankaŭ {grasu}, {kruji}.
matra	gismu      \nx_1 estas motoro/maŝino funkciiganta/pelanta/potenciganta x_2-on\nVidu ankaŭ {marce}, {minji}, {carce}.
mavji	gismu   \n-mav-      \nx_1 estas kvanto da aveno [greno] de speco/raso x_2\nVidu ankaŭ {gurni}.
maxri	gismu   \n-xri-      \nx_1 estas kvanto da tritiko [greno] de speco/raso x_2\nVidu ankaŭ {gurni}.
mebri	gismu   \n-meb-      \nx_1 estas (la) frunto [elstara plata/glata kapo/korpoparto] de x_2\nVidu ankaŭ {stedu}, {flira}.
medomoi	cmavo-compound      \nx_1 estas via x_2 laux regulo/rilato x_3
megdo	gismu   \n-meg-      \nx_1 estas miliono [1x_10**6] da x_2 laŭ dimensio/aspekto x_3 (defaŭlte unuoj)\nVidu ankaŭ {grake}, {mitre}, {snidu}, {stero}, {delno}, {molro}, {kelvo}, {xampo}, {gradu}, {litce}, {merli}, {centi}, {decti}, {dekto}, {femti}, {gigdo}, {gocti}, {gotro}, {kilto}, {mikri}, {milti}, {nanvi}, {petso}, {picti}, {terto}, xatsi,xecto,{xexso}, {zepti}, {zetro}.
mei	cmavo   \n-mem-   \n-mei-      \nŝanĝas nombron en selbri; x_1 estas &lt;n&gt;-opo formita el aro x_2 kun membroj x_3\n(x_1 estas kolektivaĵo kun N eroj x_3 konsistiganta aron x_2; x_3 (ne nepre kompleta nombrado) estas Inter la. membroj de x_2); Vidu ankaŭ {cmima}, {gunma}, cmavo {moi}.
mekso	gismu   \n-mek-   \n-me'o-      \nx_1 [kvantigilo/esprimo] estas matematika esprimo interpretita laŭ reguloj/konvencio x_2\nVidu ankaŭ {cmaci}, {dilcu}, {fancu}, {frinu}, {jalge}, {namcu}, {parbi}, {pilji}.
melbi	gismu   \n-mel-   \n-mle-      \nx_1 estas bela/plaĉa/agrabla al x_2 laŭ aspekto x_3 (ka) laŭ estetika normo x_4\nAnkaŭ: gracia.  Vidu ankaŭ {pluka}, {xamgu}.
meljo	gismu   \n-mej-      \nx_1 montras malajan kulturon/naciecon/lingvon laŭ aspekto x_2\nVidu ankaŭ {baxso}, {bindo}.
memimoi	cmavo-compound      \nx_1 estas mia x_2 laux regulo/rilato x_3
menli	gismu   \n-men-      \nx_1 estas menso/intelekto/psiko/[konscio] de korpo x_2\n(adjektivo:) x_1 estas mensa/psikologia fenomeno; pluraj personecoj (= so'i {menli}).  Vidu ankaŭ {besna}, {morji}, {mucti}, {pensi}, {sanji}, {xanri}, {sevzi}, {xadni}.
mensi	gismu   \n-mes-   \n-me'i-      \nx_1 estas fratino de x_2 laŭ ligilo/normo/gepatro(j) x_3; [ne nepre biologiaj]\nVidu ankaŭ {bruna}, {tunba}, {tamne}, {famti}.
mentu	gismu   \n-met-   \n-me'u-      \nx_1 daŭras x_2 minutojn (defaŭlte 1 minuto) laŭ normo x_3\nVidu ankaŭ {junla}, {cacra}, {snidu}, {tcika}.
merko	gismu   \n-mer-      \nx_1 apartenas al usonan kulturon/naciecon/dialekton laŭ aspekto x_2\nVidu ankaŭ {brito}, {bemro}, {ketco}, {xispo}, {glico}.
merli	gismu   \n-mre-      \nx_1 (aganto) mezuras/taksas x_2-on [kvanto] kiel x_3 unuoj en skalo x_4 (si'o), kun precizeco x_5\nVidu ankaŭ {kancu}, {rupnu}, {fepni}, {dekpu}, {gutci}, {minli}, {merli}, {bunda}, {ckilu}, {gradu}, {satci}, {centi}, {cimde}, {decti}, {dekto}, {femti}, {gigdo}, {gocti}, {gotro}, {kilto}, {kramu}, {litce}, {manri}, {megdo}, {mikri}, {milti}, nanvi,{petso}, {picti}, terto,{xatsi}, {xecto}, {xexso}, {zepti}, {zetro}.
mexno	gismu   \n-mex-      \nx_1 montras meksikan kulturon/naciecon laŭ aspekto x_2\nVidu ankaŭ {xispo}, {bemro}, {spano}.
mi	cmavo   \n-mib-      \npro-sumti: mi/ni la parolanto(j)/aŭtoro(j); identigita(j) per mem-vokativo\nVidu ankaŭ {sevzi}.
midju	gismu   \n-mij-      \nx_1 estas meze/centre de x_2; (adjektivo:) x_1 estas centra\nVidu ankaŭ {lanxe}, {jbini}, {nutli}, {snuji}, {milxe}, {denmi}, {ralju}.
mifra	gismu   \n-mif-      \nx_1 estas ĉifraĵo/kriptaĵo/kodigita teksto el malkaŝa teksto x_2 laŭ ĉifro x_3\nx_1 estas ĉifrita; kodo (= {termifra}).  Vidu ankaŭ {mipri}, {lerfu}, {sinxa}.
mikce	gismu   \n-mic-      \nx_1 kuracas/flegas/akuŝas/prizorgas x_2-on pro malsano x_3 per kuracmetodo x_4\n(adjektivo:) x_1, x_4 estas medicina; x_2 estas paciento de x_1 (= selmikce por reordigitaj {lokoj}); x_2 estas kuracata de x_1 homo/x_4 kuracado/metodo; sukcese kuraci/sanigi (= {sadmikce}, {sadvelmikce}), kuraciĝi/saniĝi (=sadyselmikce, ka'orbi'o por ne implici eksteran aganton/procedon, kvankam la x_1 kaj x_4 de mikce povas esti mem/interna); kuracado (= {velmikce}).  Vidu ankaŭ {bilma}, {kanro}, {spita}.
mikri	gismu   \n-mik-      \nx_1 estas milionono [1x_10**-6] de x_2 laŭ dimensio/aspekto x_3 (defaŭlte unuoj)\n(kp. grake, mitre, snidu, stero, delno, molro, kelvo, xampo, gradu. litce, merli, centi, decti, dekto, femti, gigdo, gocti, gotro, kilto, megdo, milti, nanvi, petso, picti, terto, xatsi,xecto,xexso, zepti, zetro)
milti	gismu   \n-mil-      \nx_1 estas milono [1/1000; 1x_10**-3] de x_2 laŭ dimensio/aspekto x_3 (defaŭlte unuoj)\n(kp. grake, mitre, snidu, stero, delno, molro, kelvo, xampo, gradu. litce, merli, centi, decti, dekto, femti, gigdo, gocti, gotro, kilto, megdo, mikri, nanvi, petso, picti, terto, xatsi, xecto, xexso,zepti,zetro)
milxe	gismu   \n-mli-      \nx_1 estas milda/neekstrema/meza/ioma en eco x_2 (ka); x_1 estas ne tre x_2\nVidu ankaŭ {mutce}, {traji}, {kandi}, {ruble}, {midju}, {nutli}, {ralci}, {traji}.
minde	gismu   \n-mid-   \n-mi'e-      \nx_1 ordonas al x_2 ke rezulto x_3 (okazo/stato) okazu; x_3 estas ordonita\n1     (ankaŭ: x_1 ordonas/ekigas/instrukcias/Incitas. x_2-on fari/okazigi x_3; x_1 estas komandanto; komando (= {termi'e})); Vidu ankaŭ {lacri}, te {bende}, {jatna}, {ralju}, {jitro}, {turni}, {tinbe}.
minji	gismu   \n-mi'i-      \nx_1 estas maŝino por uzo/funkcio x_2; [aŭtomata aparato, sen rekta kontrolo de funkcio]\nAnkaŭ: maŝinaro/mekanismo; maŝino estas ekigita de agento/forto, sed post tio ĝi plenumas sian funkcion aŭtomate; se memregata, (minji estas) estaĵo (= {zukte}).  Vidu ankaŭ {cabra}, {matra}, {tutci}, {zukte}, {pilno}, {skami}.
minli	gismu      \nx_1 estas x_2 (defaŭlte 1) longaj lokaj unuoj de distanco [ne-metra], x_3 subunuoj, normo x_4\n(pliajn subunuajn lokojn oni povas aldoni kiel x_5, x_6, ...); Vidu ankaŭ {mitre}, {kilto}, {clani}, {ganra}, {condi}, {rotsu}, {rupnu}, {fepni}, {dekpu}, {gutci}, {minli}, {merli}, {bunda}, {kramu}.
minra	gismu   \n-mir-      \nx_1 reflektas/spegulas/ehhas x_2-on [objekto/radiado] al observanto/punkto x_3 kiel x_4\nAnkaŭ: x_1 estas spegulo/reflektoro/reflektilo.  x_2 resaltas sur x_1; x_2 povas esti lumo, lu'e de bildigita objekto; x_4 povas esti bildo aŭ ehho aŭ x_2 mem se fizika objekto; x_3 povas esti vojo por resaltanta objekto; ka estas reflekto.  Vidu ankaŭ {catlu}, {viska}, {lenjo}, {pensi}.
mintu	gismu   \n-mit-   \n-mi'u-      \nx_1 estas sama/identa al x_2 laŭ normo x_3; (x_1 kaj x_2 interŝanĝeblaj)\n(kp. panra, satci, mapti, simsa, drata, dunli, cmavo du - kiu ne havas lokon por normo, simxu)
mipri	gismu   \n-mip-      \nx_1 sekretigas x_2-on kaŝitan al x_3 per metodo x_4; x_2 estas sekreta; x_1 kaŝas x_2-on\nNetransitiva kaŝita/sekreta, sen agento (= selcri aŭ nalterju'o); sekreta (= {selmipri}).  Vidu ankaŭ {stace}, {mifra}, {sivni}, {djuno}, {cirko}, {jarco}.
mirli	gismu      \nx_1 estas cervo/alko de speco/raso x_2\nVidu ankaŭ {mabru}, {danlu}.
misno	gismu   \n-mis-   \n-mi'o-      \nx_1 (homo/objekto/okazo) estas fama/renoma/reputacia inter homoj/komunumo x_2 (kolektivaĵo)\nAnkaŭ: celebrata/bone konata; (malestimiga senco:) fifama (= {malmi'o}).  Vidu ankaŭ se {sinma}, {banli}.
misro	gismu      \nx_1 montras egiptan kulturon/naciecon laŭ aspekto x_2\nVidu ankaŭ {friko}, {muslo}, {xrabo}.
mitre	gismu   \n-tre-      \nx_1 estas x_2 metroj [metra unuo] en longeco (defaŭlte 1) mezurita en direkto x_3 laŭ normo x_4\nVidu ankaŭ {kilto}, {centi}, {decti}, {dekto}, {femti}, {gigdo}, {gocti}, {gotro}, {gutci}, {litce}, {megdo}, {mikri}, {milti}, {minli}, {nanvi}, {petso}, {picti}, {terto}, {xatsi}, {xecto}, {xexso}, {zepti}, {zetro}.
mixre	gismu   \n-mix-   \n-xre-      \nx_1 (kolektivaĵo) estas miksaĵo/koloido kun ingrediencoj x_2\nx_2 miksiĝas en x_1-on; x_2 estas en x_1, ingredienco/parto/ero/elemento de x_1 (= selxre por reordigitaj {lokoj}).  Vidu ankaŭ {salta}, te {runta}, {stasu}, {jicla}, {sanso}.
mlana	gismu   \n-mla-      \nx_1 estas flanke de x_2 kaj fronte al x_3 el vidpunkto/referenckadro x_4\n(kp. crane, trixe, pritu, zunle kiu diferencas je tio, ke la direkto de alfrontado estas la fronta kaj ne la latera flanko. La x_4 de mlana povas esti la fronta aŭ malfronta flanko de x_2, korbi)
mlatu	gismu   \n-lat-      \nx_1 estas kato de speco/raso x_2; (adjektivo:) x_1 estas kata\nVidu ankaŭ {cinfo}, {tirxu}, {gerku}.
mleca	gismu   \n-mec-   \n-me'a-      \nx_1 estas malpli ol x_2 laŭ eco/kvanto x_3 (ka/ni) en kvanto x_4\nAnkaŭ: negativa (= {nonme'a}).  Vidu ankaŭ cmavo {me'a}, cmavo {su'o}, {jdika}, {zmadu}, {traji}.
mledi	gismu   \n-led-      \nx_1 estas ŝimo/fungo/agariko/trufo de speco/raso x_2 parasita/kreskanta sur x_3\nVidu ankaŭ {clika}.
mluni	gismu   \n-lun-      \nx_1 estas satelito/luno orbitanta x_2 kun karakterizaj ecoj x_3, orbitaj parametroj x_4\nVidu ankaŭ {plini}, {solri}, {lunra}.
mo'a	cmavo   \n-mob-      \ncifero/nombro: tro malmultaj; subjektiva
moi	cmavo   \n-mom-   \n-moi-      \nŝanĝas nombron en vican selbri; x_1 estas (n)-a membro de aro x_2 vicigita laŭ regulo x_3\n(x_2 estas komplete specifita aro)
mo'i	cmavo   \n-mov-      \nindikas movojn en la spaco-tempo
mokca	gismu   \n-moc-      \nx_1 estas punkto/momento [0-dimensia formo] ĉe/je tempo/loko x_2\nx_1 estas sendimensia.  Vidu ankaŭ {jipno}, {jganu}, {linji}, {stuzi}, {tcika}.
moklu	gismu   \n-mol-   \n-mo'u-      \nx_1 estas (la) buŝo [korpoparto] de x_2; (metafore: enirejo/enfluejo por konsumo)\nVidu ankaŭ {ctebi}, {denci}, {tance}.
molki	gismu   \n-mlo-      \nx_1 estas muelejo/fandejo/fabriko/[assembly line] plenumanta procedon x_2\n(malkiel fanri,) ne nepre produktas ion; grajnomuelejo (= {grumlo}), muelejo (= {zalmlo}, {zalmlotci}, {zalmloca'a}).  Vidu ankaŭ {gasta}, {gurni}, {tirse}, {fanri}, {zalvi}.
molro	gismu   \n-mo'o-      \nx_1 estas x_2 grammolekuloj [metra unuo] en substanco (defaŭlte 1) laŭ normo x_3\nVidu ankaŭ {centi}, {decti}, {dekto}, {femti}, {gigdo}, {gocti}, {gotro}, {kilto}, {megdo}, {mikri}, {milti}, {nanvi}, {petso}, {picti}, {terto}, {xatsi}, {xecto}, {xexso}, {zepti}, {zetro}.
morji	gismu   \n-moj-   \n-mo'i-      \nx_1 memoras/rememoras faktojn/memoraĵon x_2 (du'u) pri temo x_3\nVidu ankaŭ cmavo {ba'anai}, {menli}, {pensi}, {sanji}, {djuno}, {notci}.
morko	gismu   \n-mor-      \nx_1 montras morokan kulturon/naciecon laŭ aspekto x_2\nVidu ankaŭ {friko}, {xrabo}, {muslo}.
morna	gismu   \n-mon-   \n-mo'a-      \nx_1 estas/elmontras/reprezentas modelon/desegnon de formoj/okazoj x_2 aranĝitaj laŭ strukturo x_3\n(x_3 estas Modelo. por x_1 (= termontai, aŭ la pli abstrakta = termonsi'o); bildo (= gusmo'a, nenmo'a, dairmo'a, selylenmo'a, selmirmo'a, velmirmo'a, sed ankaŭ ĉiuj tiuj kun -tai anstataŭ -mo'a por la idealo)); Vidu ankaŭ {ciste}, {ganzu}, {marji}, {slilu}, {stura}, {tarmi}, {boxna}, {cimde}, {gidva}, {jimpe}, {rilti}.
morsi	gismu   \n-mro-      \nx_1 estas mortinta/jam ne vivas\nMorti (= {mrobi'o}, {co'urji'e}).  Vidu ankaŭ {jmive}, {catra}, {betri}.
mosra	gismu   \n-mos-      \nx_1 estas frikcio/frotforto [forto kontraŭ movo] pro kontakto/interfrotiĝo inter x_2 kaj x_3\nAnkaŭ: viŝi; x_2 frotiĝas/interfrotiĝas kun/kontraŭ x_3 (= {termosra}).  Vidu ankaŭ {sakli}, {sraku}, {jabre}, {satre}, {guska}, {pencu}, {spali}.
mraji	gismu      \nx_1 estas kvanto da sekalo [greno] de speco/raso x_2\nVidu ankaŭ {gurni}.
mribriju	lujvo      \nx_1=b_1 estas poŝtoficejo de poŝtoficisto x_2=b_2 ĉe x_3=b_3 por poŝta sistemo x_4=m_5.\nVidu ankaŭ {mrilu}, {briju}.
mrilu	gismu   \n-mri-      \nx_1 poŝtas [transigo tra peranta servo] x_2-on al x_3 de x_4 per portanto/reto/sistemo x_5\nAnkaŭ: x_4 poŝtejo, poŝtujo.  (kp. benji ĉe kiu la medio ne nepre estas 3a partoprenanto/servo/sistemo, kaj x_2 ne nepre konsistigas el unuopaj unuoj.  notci, xatra, tcana)
mruli	gismu   \n-mru-      \nx_1 [ilo] estas martelo por marteli x_2-on [celo] konsistanta el pezo/kapo x_3 pelita de x_4\nVidu ankaŭ {tutci}.
mu	cmavo   \n-mum-      \ncifero/nombro: 5 (cifero)
mucti	gismu   \n-mut-      \nx_1 estas nemateria/nefizika/sen materia formo\n(kp. marji, menli, prŭi, sidbo)
mudri	gismu   \n-mud-      \nx_1 estas kvanto da/enhavas/konsistas el ligno el arbo(j) de tipo/speco x_2\nVidu ankaŭ {tricu}, {stani}.
mu'e	cmavo   \n-muf-      \nabstraktilo de punkt-okazo: x_1 estas la okazo-kiel-punkto de [bridi]
mukti	gismu   \n-muk-   \n-mu'i-      \nx_1 (ago/okazo/stato) motivas/stimulas agon/okazon x_2, laŭ volo de x_3;\nAnkaŭ: x_1 instigas/incitas x_3-on fari x_2-on; x_3 estas motivata de x_1 okazigi rezulton/celon x_2 (= termu'i por reordigitaj {lokoj}); (rimarku ke 'sub kondiĉoj'-BAI povas aplikiĝi kaj esti aldonita laŭkaze ĉe la nivelo de la ĉefa predikato aŭ ene de la ago x_2).  (kp. cmavo mu'i, nibli, te zukte - ĝenerale pli bona por 'celo', se jalge, krinu, rinka, ciksi, djica, xlura)
mulno	gismu   \n-mul-   \n-mu'o-      \nx_1 (okazo) estas kompleta/tuta/elfarita/finita; x_1 (objekto) iĝis tuto en eco x_2 laŭ normo x_3\nAnkaŭ: perfektigita, tuto; (adverbo:) plene, komplete, tute, absolute.  Vidu ankaŭ {fanmo}, {culno}, {pagbu}, {xadba}, {prane}, {jalge}, {sumji}, {munje}, {sisti}, {xadni}.
munje	gismu   \n-muj-   \n-mu'e-      \nx_1 estas universo/kosmo [kompleta kaj orda tutaĵo] de kampo/sfero x_2 difinita laŭ reguloj x_3\nAnkaŭ: mondo; universo estas speco de sistemo, kiu plene ampleksas sian kampon; ekz. 'universo de parolo', aŭ 'mondo de birdoj'; x_3 estas la reguloj/difinaj principoj kiuj distingas la universon disde aliaj universoj, aŭ disde ne-universo.  Vidu ankaŭ {ciste}, {plini}, {kensa}, {mulno}.
mupli	gismu   \n-mup-      \nx_1 estas ekzemplo/specimeno/instanco/kaze/ilustraĵo de komunaj ecoj x_2 de aro x_3\nVidu ankaŭ cmavo {mu'u}, {pixra}.
murse	gismu      \nx_1 estas [astronoma] krepusko/eklumiĝo/tagiĝo/vesperiĝo/duonlumo de tago x_2 en loko x_3\nMatena krepusko, sunleviĝo (= {cermurse}); vespera krepusko, vesperiĝo (= {vacmurse}).  Vidu ankaŭ {cerni}, {kandi}, {vanci}.
murta	gismu   \n-mur-   \n-mu'a-      \nx_1 estas kurteno/markezo/ĵaluzio/persieno por kovri/mallumigi aperturon x_2, kaj el materialo x_3\nVidu ankaŭ {canko}, {vorme}.
muslo	gismu   \n-mus-      \nx_1 apartenas al la islama/mahometana/Korana kulturo/religio/nacio laŭ aspekto x_2\nAnkaŭ: muzlo.  Vidu ankaŭ {jegvo}, {lijda}.
mutce	gismu   \n-tce-      \nx_1 estas multa/ekstrema en eco x_2 (ka), direkte al ekstremo x_3; x_1 estas, en x_2, tre x_3\nVidu ankaŭ {milxe}, {traji}, {banli}, {carmi}, {nutli}, {traji}.
muvdu	gismu   \n-muv-   \n-mu'u-      \nx_1 (objekto) moviĝas al celita loko x_2 [for] de deirpunkto x_3 tra vojo x_4\nAnkaŭ: mova (= {comymu'u}, por la nespecifa malo de {senmova}); post muvdu, objekto forlasas/ne plu estas ĉe la deirpunkto (krom se fizike revenas tien, kiel litru aŭ slilu); agenta movo (=muvgau, muvzu'e), ne-agenta transitiva movo (= {muvri'a}), mem-pelita (= {sezmuvgau}), movo de parto de la objekto (= {pagmu'u}), havi moveblan parton (= {muvypau}, {muvyselpau}); ŝajni moviĝi (= {mlumu'u}).  (kp. rinci, klama (kiu diferencas je tio, ke la movrimedoj estas eksplicitaj), litru, cliva, fatri; dunda, benji por agenta movo kiu ne nepre implicas forproprigon de origino, preja por simila movo sen implica agento, bevri, vimcu)
muzga	gismu   \n-muz-      \nx_1 estas muzeo por konservi [kaj eble montranta] x_2-on en loko x_3\nVidu ankaŭ {citri}.
na	cmavo   \n-nar-      \nkontraŭdira negilo de bridi; ampleksas tutan bridi; logika neo en certaj cmavo-kunmetaĵoj
nabmi	gismu   \n-nam-      \nx_1 (okazo/stato) estas problemo por x_2 en situacio/tasko/esploro x_3\nAnkaŭ: x_1 bezonas konsideradon de x_2.  Vidu ankaŭ {preti}, {danfu}, {ciksi}, {jijnu}, {jinvi}, {nandu}, {pensi}, {sidbo}, {spuda}.
na'e	cmavo   \n-nal-      \nskala negilo: alia ol ...; ne-...; implicita skalo aŭ aro
nakni	gismu   \n-nak-      \nx_1 estas virseksa/maskla/'iĉa' de speco x_2 montranta virajn trajtojn x_3 (ka); x_1 estas vira\nVidu ankaŭ {fetsi}, {bersa}.
nalci	gismu   \n-na'i-      \nx_1 estas flugilo [korpoparto] de x_2; [metafore: flanka subtena surfaco]\nVidu ankaŭ {cipni}, {pimlu}, {rebla}.
namcu	gismu   \n-nac-   \n-na'u-      \nx_1 (li) estas nombro/kvantigilo/cifero/valoro (substantivo); rilatas al valoro ne al simbolo\nVidu ankaŭ {lerfu}, {mekso}, {klani}.
nanba	gismu   \n-nab-      \nx_1 estas kvanto da/enhavas/konsistas el pano [fermentigita aŭ ne] farita el grajnoj x_2\nVidu ankaŭ {gurni}, {panlo}, {toknu}.
nanca	gismu   \n-na'a-      \nx_1 daŭras x_2 jarojn (defaŭlte 1 jaro) laŭ normo x_3; (adjektivo:) x_1 estas jara\nĉijaro (= {cabna'a}); la venonta jaro (= {bavlamna'a}); la pasinta jaro (= {prulamna'a}).  Vidu ankaŭ {detri}, {djedi}, {jeftu}, {masti}.
nandu	gismu   \n-nad-      \nx_1 estas malfacila/defia por x_2 sub kondiĉoj x_3; x_1 defias (ne-agentiva) x_2-on\nVidu ankaŭ {frili}, {nabmi}, {jdari}, {talsa}, {tinsa}.
nanla	gismu      \nx_1 estas knabo [juna vira homo] de aĝo x_2 nematura laŭ normo x_3\nVorto evitinda en metaforo/ekzemplo kiel seksisma; (uzu je verba).  Vidu ankaŭ {nixli}, {verba}, {nanmu}, {bersa}.
nanmu	gismu   \n-nau-      \nx_1 estas viro; x_1 estas vira homeca persono [ne nepre adolta]\nVorto evitinda en metaforo/ekzemplo kiel seksisma; (uzu je remna aŭ prenu).  Vidu ankaŭ {ninmu}, {remna}, {prenu}, {makcu}, {nanla}, {bersa}.
nanvi	gismu   \n-nav-      \nx_1 estas miliardono [1x_10**-9] de x_2 laŭ dimensio/aspekto x_3 (defaŭlte unuoj)\n(kp. grake, mitre, snidu, stero, delno, molro, kelvo, xampo, gradu. litce, merli, centi, decti, dekto, femti, gigdo, gocti, gotro, kilto, megdo, mikri, milti, petso, picti, terto, xatsi, xecto, xexso, zepti, zetro)
narge	gismu   \n-nag-      \nx_1 estas nukso [korpoparto: malmolŝela frukto] el planto/speco x_2 kun ŝelo x_3 kaj grajno x_4\nAnkaŭ: x_4 nukleo, centro (= velnarge por reordigitaj {lokoj}).  Vidu ankaŭ {grute}, {stagi}, {jbari}, {midju}.
narju	gismu   \n-naj-      \nx_1 estas oranĝa [koloradjektivo]\nVidu ankaŭ {skari}, {blabi}, {xekri}, {kandi}, {carmi}, {xunre}, {pelxu}, {solji}.
natfe	gismu   \n-naf-   \n-na'e-      \nx_1 (du'u) kontraŭdiras/negas/refutas/neas x_2-on (du'u) laŭ reguloj/logiko x_3\nAnkaŭ: escepto (= {nafmupli}); agenta kontraŭdiro/neo (= nafxu'a aŭ tolxu'a).  Vidu ankaŭ {nibli}, {tugni}, {zanru}, {xusra}.
natmi	gismu   \n-nat-   \n-nai-      \nx_1 estas nacio/gento/popolo de homoj x_2; [homoj kun komuna historio/kulturo]\nVidu ankaŭ {jecta}, {kulnu}, {lanzu}, {gugde}, {bangu}, {cecmu}.
navni	gismu      \nx_1 estas kvanto da/enhavas/konsistas el inerta gaso de tipo x_2 [neono/argono/radono/ksenono]\nDefaŭlte neono. Vidu ankaŭ {xukmi}, {gapci}.
naxle	gismu   \n-nax-   \n-xle-      \nx_1 estas kanalo al x_2 elde x_3 tra x_4\nx_2/x_3 povas esti neordigitaj.  Vidu ankaŭ {pluta}, {rirxe}, {klaji}, {dargu}.
nazbi	gismu   \n-naz-   \n-zbi-      \nx_1 estas la nazo [korpoparto] de x_2 kun naztruo(j) x_3; [metafore: elstaraĵo]\nVidu ankaŭ {degji}, {panci}, {sumne}, {tance}.
ne'e	experimental cmavo   \nCAI      \nmalo\nne'e havas saman signifon kiel {to'e} , sed apartenas al selma'o CAI
